Identifier_targ,Title,Year,What_is_available,Sample_overlap_target_base,Category_targ,Phenotype_targ,Tissue_targ,Array_targ,Ancestry_targ,Developmental_period_targ,Covariates_targ,MPS_id,Identifier_base,Category_base,Phenotype_base,Tissue_base,Array_base,Ancestry_base,Developmental_period_base,Covariates_base
Mendelson (2017) - Association of Body Mass Index,The association of DNA methylation with body mass index: distinguishing between predictors and biomarkers,2020,EWAS summary statistics,No,Lifestyle and environment,BMI,Cord blood,450K,European,Birth,"sex (where applicable), sample type (where applicable) and cell type proportions (B cell, CD4T, CD8T, Gran, Mono and NK).",Mendelson (2017) - Association of Body Mass IndexBMI,Mendelson (2017) - Association of Body Mass Index,Physical health indicator,BMI,Whole blood,450K,White,Adults,"age, sex, family relatedness (random effect), and surrogate variables (to account for differential cell proportions and technical effects"
Mendelson (2017) - Association of Body Mass Index,The association of DNA methylation with body mass index: distinguishing between predictors and biomarkers,2020,EWAS summary statistics,No,Lifestyle and environment,BMI,Peripheral blood,450K,European,Mid childhood,"age (except at birth), sex (where applicable), sample type (where applicable) and cell type proportions (B cell, CD4T, CD8T, Gran, Mono and NK).",Mendelson (2017) - Association of Body Mass IndexBMI,Mendelson (2017) - Association of Body Mass Index,Physical health indicator,BMI,Whole blood,450K,White,Adults,"age, sex, family relatedness (random effect), and surrogate variables (to account for differential cell proportions and technical effects"
Joubert (2017) - DNA Methylation in Newborns and,DNA Methylation Score as a Biomarker in Newborns for Sustained Maternal Smoking during Pregnancy,2017,EWAS summary statistics,Yes,Lifestyle and environment,Maternal smoking,Cord blood,450K,European,Birth,"gender, gestational age, maternal education, maternal age, parity, and the selection variable for the data set.",Joubert (2017) - DNA Methylation in Newborns andMaternal smoking,Joubert (2017) - DNA Methylation in Newborns and,Lifestyle and environment ,Maternal smoking,Cord blood,450K,Mixed,Birth,"maternal age, maternal education (or a surrogate socioeconomic metric), parity, and technical covariates such as batch or plate"
Aref-Eshghi (2019) - Evaluation of DNA Methylation Episignatures,Clinical epigenomics: genome-wide DNA methylation analysis for the diagnosis of Mendelian disorders,2021,Validated MPS algorithm,No,Genetic syndromes,AUTS18 syndrome / Intellectual developmental disorder with autism and macrocephaly (IDDAM),Peripheral blood,EPICv1,Not reported,Childhood and adolescence,Not reported,Aref-Eshghi (2019) - Evaluation of DNA Methylation EpisignaturesAUTS18 syndrome / Intellectual developmental disorder with autism and macrocephaly (IDDAM),Aref-Eshghi (2019) - Evaluation of DNA Methylation Episignatures,Genetic syndromes,AUTS18 syndrome / Intellectual developmental disorder with autism and macrocephaly (IDDAM),Peripheral blood,"Multiple (450K, EPICv1)",Not reported,Not reported,"Cell type, 10 PCs"
Aref-Eshghi (2019) - Evaluation of DNA Methylation Episignatures,Clinical epigenomics: genome-wide DNA methylation analysis for the diagnosis of Mendelian disorders,2021,Validated MPS algorithm,No,Genetic syndromes,Helsmoortel–van der Aa syndrome (HVDAS) / ADNP,Peripheral blood,EPICv1,Not reported,Childhood and adolescence,Not reported,Aref-Eshghi (2019) - Evaluation of DNA Methylation EpisignaturesHelsmoortel–van der Aa syndrome (HVDAS) / ADNP,Aref-Eshghi (2019) - Evaluation of DNA Methylation Episignatures,Genetic syndromes,Helsmoortel–van der Aa syndrome (HVDAS) / ADNP,Peripheral blood,"Multiple (450K, EPICv1)",Not reported,Not reported,"Cell type, 10 PCs"
Unclear - EpiSignv2,Clinical epigenomics: genome-wide DNA methylation analysis for the diagnosis of Mendelian disorders,2021,Validated MPS algorithm,No,Genetic syndromes,Angelman syndrome,Peripheral blood,EPICv1,Not reported,Childhood and adolescence,Not reported,Unclear - EpiSignv2Angelman syndrome,Unclear - EpiSignv2,Genetic syndromes,Angelman syndrome,Peripheral blood,"Multiple (450K, EPICv1)",Not reported,Not reported,"Cell type, 10 PCs"
Aref-Eshghi (2019) - Evaluation of DNA Methylation Episignatures,Clinical epigenomics: genome-wide DNA methylation analysis for the diagnosis of Mendelian disorders,2021,Validated MPS algorithm,No,Genetic syndromes,BAFopathy syndrome: no subtype specified,Peripheral blood,EPICv1,Not reported,Childhood and adolescence,Not reported,Aref-Eshghi (2019) - Evaluation of DNA Methylation EpisignaturesBAFopathy syndrome: no subtype specified,Aref-Eshghi (2019) - Evaluation of DNA Methylation Episignatures,Genetic syndromes,BAFopathy syndrome: no subtype specified,Peripheral blood,"Multiple (450K, EPICv1)",Not reported,Not reported,"Cell type, 10 PCs"
Aref-Eshghi (2019) - Evaluation of DNA Methylation Episignatures,Clinical epigenomics: genome-wide DNA methylation analysis for the diagnosis of Mendelian disorders,2021,Validated MPS algorithm,No,Genetic syndromes,BAFopathy syndrome: no subtype specified,Peripheral blood,EPICv1,Not reported,Childhood and adolescence,Not reported,Aref-Eshghi (2019) - Evaluation of DNA Methylation EpisignaturesBAFopathy syndrome: no subtype specified,Aref-Eshghi (2019) - Evaluation of DNA Methylation Episignatures,Genetic syndromes,BAFopathy syndrome: no subtype specified,Peripheral blood,"Multiple (450K, EPICv1)",Not reported,Not reported,"Cell type, 10 PCs"
Unclear - EpiSignv2,Clinical epigenomics: genome-wide DNA methylation analysis for the diagnosis of Mendelian disorders,2021,Validated MPS algorithm,No,Genetic syndromes,Beckwith-Wiedemann syndrome (BWS),Peripheral blood,EPICv1,Not reported,Childhood and adolescence,Not reported,Unclear - EpiSignv2Beckwith-Wiedemann syndrome (BWS),Unclear - EpiSignv2,Genetic syndromes,Beckwith-Wiedemann syndrome (BWS),Peripheral blood,"Multiple (450K, EPICv1)",Not reported,Not reported,"Cell type, 10 PCs"
Unclear - EpiSignv2,Clinical epigenomics: genome-wide DNA methylation analysis for the diagnosis of Mendelian disorders,2021,Validated MPS algorithm,No,Genetic syndromes,"Blepharophimosis intellectual disability syndrome, SMARCA2 type",Peripheral blood,EPICv1,Not reported,Childhood and adolescence,Not reported,"Unclear - EpiSignv2Blepharophimosis intellectual disability syndrome, SMARCA2 type",Unclear - EpiSignv2,Genetic syndromes,"Blepharophimosis intellectual disability syndrome, SMARCA2 type",Peripheral blood,"Multiple (450K, EPICv1)",Not reported,Not reported,"Cell type, 10 PCs"
Aref-Eshghi (2019) - Evaluation of DNA Methylation Episignatures,Clinical epigenomics: genome-wide DNA methylation analysis for the diagnosis of Mendelian disorders,2021,Validated MPS algorithm,No,Genetic syndromes,CHARGE syndrome,Peripheral blood,EPICv1,Not reported,Childhood and adolescence,Not reported,Aref-Eshghi (2019) - Evaluation of DNA Methylation EpisignaturesCHARGE syndrome,Aref-Eshghi (2019) - Evaluation of DNA Methylation Episignatures,Genetic syndromes,CHARGE syndrome,Peripheral blood,"Multiple (450K, EPICv1)",Not reported,Not reported,"Cell type, 10 PCs"
Aref-Eshghi (2019) - Evaluation of DNA Methylation Episignatures,Clinical epigenomics: genome-wide DNA methylation analysis for the diagnosis of Mendelian disorders,2021,Validated MPS algorithm,No,Genetic syndromes,Claes-Jensen syndrome,Peripheral blood,EPICv1,Not reported,Childhood and adolescence,Not reported,Aref-Eshghi (2019) - Evaluation of DNA Methylation EpisignaturesClaes-Jensen syndrome,Aref-Eshghi (2019) - Evaluation of DNA Methylation Episignatures,Genetic syndromes,Claes-Jensen syndrome,Peripheral blood,"Multiple (450K, EPICv1)",Not reported,Not reported,"Cell type, 10 PCs"
Aref-Eshghi (2019) - Evaluation of DNA Methylation Episignatures,Clinical epigenomics: genome-wide DNA methylation analysis for the diagnosis of Mendelian disorders,2021,Validated MPS algorithm,No,Genetic syndromes,Cornelia de Lange syndrome (CdLS),Peripheral blood,EPICv1,Not reported,Childhood and adolescence,Not reported,Aref-Eshghi (2019) - Evaluation of DNA Methylation EpisignaturesCornelia de Lange syndrome (CdLS),Aref-Eshghi (2019) - Evaluation of DNA Methylation Episignatures,Genetic syndromes,Cornelia de Lange syndrome (CdLS),Peripheral blood,"Multiple (450K, EPICv1)",Not reported,Not reported,"Cell type, 10 PCs"
Unclear - EpiSignv2,Clinical epigenomics: genome-wide DNA methylation analysis for the diagnosis of Mendelian disorders,2021,Validated MPS algorithm,No,Genetic syndromes,Fragile X syndrome (FXS),Peripheral blood,EPICv1,Not reported,Childhood and adolescence,Not reported,Unclear - EpiSignv2Fragile X syndrome (FXS),Unclear - EpiSignv2,Genetic syndromes,Fragile X syndrome (FXS),Peripheral blood,"Multiple (450K, EPICv1)",Not reported,Not reported,"Cell type, 10 PCs"
Unclear - EpiSignv2,Clinical epigenomics: genome-wide DNA methylation analysis for the diagnosis of Mendelian disorders,2021,Validated MPS algorithm,No,Genetic syndromes,"Intellectual developmental disorder, autosomal dominant 23 (MRD23)",Peripheral blood,EPICv1,Not reported,Childhood and adolescence,Not reported,"Unclear - EpiSignv2Intellectual developmental disorder, autosomal dominant 23 (MRD23)",Unclear - EpiSignv2,Genetic syndromes,"Intellectual developmental disorder, autosomal dominant 23 (MRD23)",Peripheral blood,"Multiple (450K, EPICv1)",Not reported,Not reported,"Cell type, 10 PCs"
Aref-Eshghi (2019) - Evaluation of DNA Methylation Episignatures,Clinical epigenomics: genome-wide DNA methylation analysis for the diagnosis of Mendelian disorders,2021,Validated MPS algorithm,No,Genetic syndromes,"Intellectual developmental disorder, X-linked 93 (MRX93)",Peripheral blood,EPICv1,Not reported,Childhood and adolescence,Not reported,"Aref-Eshghi (2019) - Evaluation of DNA Methylation EpisignaturesIntellectual developmental disorder, X-linked 93 (MRX93)",Aref-Eshghi (2019) - Evaluation of DNA Methylation Episignatures,Genetic syndromes,"Intellectual developmental disorder, X-linked 93 (MRX93)",Peripheral blood,"Multiple (450K, EPICv1)",Not reported,Not reported,"Cell type, 10 PCs"
Aref-Eshghi (2019) - Evaluation of DNA Methylation Episignatures,Clinical epigenomics: genome-wide DNA methylation analysis for the diagnosis of Mendelian disorders,2021,Validated MPS algorithm,No,Genetic syndromes,Kabuki syndrome,Peripheral blood,EPICv1,Not reported,Childhood and adolescence,Not reported,Aref-Eshghi (2019) - Evaluation of DNA Methylation EpisignaturesKabuki syndrome,Aref-Eshghi (2019) - Evaluation of DNA Methylation Episignatures,Genetic syndromes,Kabuki syndrome,Peripheral blood,"Multiple (450K, EPICv1)",Not reported,Not reported,"Cell type, 10 PCs"
Unclear - EpiSignv2,Clinical epigenomics: genome-wide DNA methylation analysis for the diagnosis of Mendelian disorders,2021,Validated MPS algorithm,No,Genetic syndromes,Kagami–Ogatta syndrome (KOS),Peripheral blood,EPICv1,Not reported,Childhood and adolescence,Not reported,Unclear - EpiSignv2Kagami–Ogatta syndrome (KOS),Unclear - EpiSignv2,Genetic syndromes,Kagami–Ogatta syndrome (KOS),Peripheral blood,"Multiple (450K, EPICv1)",Not reported,Not reported,"Cell type, 10 PCs"
Aref-Eshghi (2019) - Evaluation of DNA Methylation Episignatures,Clinical epigenomics: genome-wide DNA methylation analysis for the diagnosis of Mendelian disorders,2021,Validated MPS algorithm,No,Genetic syndromes,Kleefstra syndrome (Kleefstra),Peripheral blood,EPICv1,Not reported,Childhood and adolescence,Not reported,Aref-Eshghi (2019) - Evaluation of DNA Methylation EpisignaturesKleefstra syndrome (Kleefstra),Aref-Eshghi (2019) - Evaluation of DNA Methylation Episignatures,Genetic syndromes,Kleefstra syndrome (Kleefstra),Peripheral blood,"Multiple (450K, EPICv1)",Not reported,Not reported,"Cell type, 10 PCs"
Aref-Eshghi (2019) - Evaluation of DNA Methylation Episignatures,Clinical epigenomics: genome-wide DNA methylation analysis for the diagnosis of Mendelian disorders,2021,Validated MPS algorithm,No,Genetic syndromes,Koolen de Vreis syndrome (KDVS),Peripheral blood,EPICv1,Not reported,Childhood and adolescence,Not reported,Aref-Eshghi (2019) - Evaluation of DNA Methylation EpisignaturesKoolen de Vreis syndrome (KDVS),Aref-Eshghi (2019) - Evaluation of DNA Methylation Episignatures,Genetic syndromes,Koolen de Vreis syndrome (KDVS),Peripheral blood,"Multiple (450K, EPICv1)",Not reported,Not reported,"Cell type, 10 PCs"
Unclear - EpiSignv2,Clinical epigenomics: genome-wide DNA methylation analysis for the diagnosis of Mendelian disorders,2021,Validated MPS algorithm,No,Genetic syndromes,Prader–Willi syndrome,Peripheral blood,EPICv1,Not reported,Childhood and adolescence,Not reported,Unclear - EpiSignv2Prader–Willi syndrome,Unclear - EpiSignv2,Genetic syndromes,Prader–Willi syndrome,Peripheral blood,"Multiple (450K, EPICv1)",Not reported,Not reported,"Cell type, 10 PCs"
Aref-Eshghi (2019) - Evaluation of DNA Methylation Episignatures,Clinical epigenomics: genome-wide DNA methylation analysis for the diagnosis of Mendelian disorders,2021,Validated MPS algorithm,No,Genetic syndromes,Rubinstein-Taybi syndrome (RSTS),Peripheral blood,EPICv1,Not reported,Childhood and adolescence,Not reported,Aref-Eshghi (2019) - Evaluation of DNA Methylation EpisignaturesRubinstein-Taybi syndrome (RSTS),Aref-Eshghi (2019) - Evaluation of DNA Methylation Episignatures,Genetic syndromes,Rubinstein-Taybi syndrome (RSTS),Peripheral blood,"Multiple (450K, EPICv1)",Not reported,Not reported,"Cell type, 10 PCs"
Unclear - EpiSignv2,Clinical epigenomics: genome-wide DNA methylation analysis for the diagnosis of Mendelian disorders,2021,Validated MPS algorithm,No,Genetic syndromes,Silver Russel syndrome 1 (SRS1),Peripheral blood,EPICv1,Not reported,Childhood and adolescence,Not reported,Unclear - EpiSignv2Silver Russel syndrome 1 (SRS1),Unclear - EpiSignv2,Genetic syndromes,Silver Russel syndrome 1 (SRS1),Peripheral blood,"Multiple (450K, EPICv1)",Not reported,Not reported,"Cell type, 10 PCs"
Aref-Eshghi (2019) - Evaluation of DNA Methylation Episignatures,Clinical epigenomics: genome-wide DNA methylation analysis for the diagnosis of Mendelian disorders,2021,Validated MPS algorithm,No,Genetic syndromes,Sotos syndrome,Peripheral blood,EPICv1,Not reported,Childhood and adolescence,Not reported,Aref-Eshghi (2019) - Evaluation of DNA Methylation EpisignaturesSotos syndrome,Aref-Eshghi (2019) - Evaluation of DNA Methylation Episignatures,Genetic syndromes,Sotos syndrome,Peripheral blood,"Multiple (450K, EPICv1)",Not reported,Not reported,"Cell type, 10 PCs"
Aref-Eshghi (2019) - Evaluation of DNA Methylation Episignatures,Clinical epigenomics: genome-wide DNA methylation analysis for the diagnosis of Mendelian disorders,2021,Validated MPS algorithm,No,Genetic syndromes,Tatton–Brown–Rahman syndrome (TBRS),Peripheral blood,EPICv1,Not reported,Childhood and adolescence,Not reported,Aref-Eshghi (2019) - Evaluation of DNA Methylation EpisignaturesTatton–Brown–Rahman syndrome (TBRS),Aref-Eshghi (2019) - Evaluation of DNA Methylation Episignatures,Genetic syndromes,Tatton–Brown–Rahman syndrome (TBRS),Peripheral blood,"Multiple (450K, EPICv1)",Not reported,Not reported,"Cell type, 10 PCs"
Aref-Eshghi (2019) - Evaluation of DNA Methylation Episignatures,Clinical epigenomics: genome-wide DNA methylation analysis for the diagnosis of Mendelian disorders,2021,Validated MPS algorithm,No,Genetic syndromes,Wiedemann-Steiner syndrome (WDSTS),Peripheral blood,EPICv1,Not reported,Childhood and adolescence,Not reported,Aref-Eshghi (2019) - Evaluation of DNA Methylation EpisignaturesWiedemann-Steiner syndrome (WDSTS),Aref-Eshghi (2019) - Evaluation of DNA Methylation Episignatures,Genetic syndromes,Wiedemann-Steiner syndrome (WDSTS),Peripheral blood,"Multiple (450K, EPICv1)",Not reported,Not reported,"Cell type, 10 PCs"
Aref-Eshghi (2019) - Evaluation of DNA Methylation Episignatures,Clinical epigenomics: genome-wide DNA methylation analysis for the diagnosis of Mendelian disorders,2021,Validated MPS algorithm,No,Genetic syndromes,X-linked alpha-thalassemia/mental retardation syndrome (ATRX),Peripheral blood,EPICv1,Not reported,Childhood and adolescence,Not reported,Aref-Eshghi (2019) - Evaluation of DNA Methylation EpisignaturesX-linked alpha-thalassemia/mental retardation syndrome (ATRX),Aref-Eshghi (2019) - Evaluation of DNA Methylation Episignatures,Genetic syndromes,X-linked alpha-thalassemia/mental retardation syndrome (ATRX),Peripheral blood,"Multiple (450K, EPICv1)",Not reported,Not reported,"Cell type, 10 PCs"
Capper (2018) - DNA methylation-based classification of,DNA methylation profiling improves routine diagnosis of paediatric central nervous system tumours: A prospective population-based study,2022,Validated MPS algorithm,No,Cancer,Central nervous system tumour ,Tumour cells,EPICv1,European,Childhood and adolescence,Not reported,Capper (2018) - DNA methylation-based classification ofCentral nervous system tumour ,Capper (2018) - DNA methylation-based classification of,Cancer,Central nervous system tumour ,Tumour cells,450K,Not reported,Childhood and adolescence,batch
Provencal (2020) - Glucocorticoid exposure during hippocampal neurogenesis,A polyepigenetic glucocorticoid exposure score at birth and childhood mental and behavioral disorders,2020,Validated MPS algorithm,Yes,Lifestyle and environment,Glucocorticoid ,Cord blood,450K,European,Birth,"cord blood cell type composition, the first two genetic MDS components, child’s sex, child’s birth year, gestational age at birth, maternal age at delivery (years), maternal smoking during pregnancy (yes/no), maternal education (primary or secondary/tertiary), having any of the cardiometabolic conditions during pregnancy (hypertensive disorders, gestational diabetes mellitus, type 1 diabetes, or pre-pregnancy BMI≥25 kg/m2 ]), and maternal lifetime diagnosis of any mental disorder.",Provencal (2020) - Glucocorticoid exposure during hippocampal neurogenesisGlucocorticoid ,Provencal (2020) - Glucocorticoid exposure during hippocampal neurogenesis,Lifestyle and environment,Glucocorticoid ,"Multiple (Whole blood, HPCs)",450K,European,Birth,"HPC: SVs; Whole blood: subject id as random factor and blood cell counts, age, gender, case-control status and BMI as fixed factor; DNAm eventual score residualized for gender, age, case-control status, bmi and blood cell counts"
Levy (2022) - Novel diagnostic DNA methylation episignatures,DNA methylation analysis in patients with neurodevelopmental disorders improves variant interpretation and reveals complexity,2024,Validated MPS algorithm,,Genetic syndromes,22q11.2 deletion syndrome,Peripheral blood,EPICv1,Not reported,Childhood and adolescence,Not reported,Levy (2022) - Novel diagnostic DNA methylation episignatures22q11.2 deletion syndrome,Levy (2022) - Novel diagnostic DNA methylation episignatures,Genetic syndromes,22q11.2 deletion syndrome,Peripheral blood,"Multiple (450K, EPICv1)",Not reported,Childhood and adolescence,Cell type
Aref-Eshghi (2019) - Evaluation of DNA Methylation Episignatures,DNA methylation analysis in patients with neurodevelopmental disorders improves variant interpretation and reveals complexity,2024,Validated MPS algorithm,,Genetic syndromes,Helsmoortel–van der Aa syndrome (HVDAS) / ADNP,Peripheral blood,EPICv1,Not reported,Childhood and adolescence,Not reported,Aref-Eshghi (2019) - Evaluation of DNA Methylation EpisignaturesHelsmoortel–van der Aa syndrome (HVDAS) / ADNP,Aref-Eshghi (2019) - Evaluation of DNA Methylation Episignatures,Genetic syndromes,Helsmoortel–van der Aa syndrome (HVDAS) / ADNP,Peripheral blood,"Multiple (450K, EPICv1)",Not reported,Not reported,"Cell type, 10 PCs"
Aref-Eshghi (2019) - Evaluation of DNA Methylation Episignatures,DNA methylation analysis in patients with neurodevelopmental disorders improves variant interpretation and reveals complexity,2024,Validated MPS algorithm,,Genetic syndromes,BAFopathy syndrome: no subtype specified,Peripheral blood,EPICv1,Not reported,Childhood and adolescence,Not reported,Aref-Eshghi (2019) - Evaluation of DNA Methylation EpisignaturesBAFopathy syndrome: no subtype specified,Aref-Eshghi (2019) - Evaluation of DNA Methylation Episignatures,Genetic syndromes,BAFopathy syndrome: no subtype specified,Peripheral blood,"Multiple (450K, EPICv1)",Not reported,Not reported,"Cell type, 10 PCs"
Aref-Eshghi (2019) - Evaluation of DNA Methylation Episignatures,DNA methylation analysis in patients with neurodevelopmental disorders improves variant interpretation and reveals complexity,2024,Validated MPS algorithm,,Genetic syndromes,BAFopathy syndrome: no subtype specified,Peripheral blood,EPICv1,Not reported,Childhood and adolescence,Not reported,Aref-Eshghi (2019) - Evaluation of DNA Methylation EpisignaturesBAFopathy syndrome: no subtype specified,Aref-Eshghi (2019) - Evaluation of DNA Methylation Episignatures,Genetic syndromes,BAFopathy syndrome: no subtype specified,Peripheral blood,"Multiple (450K, EPICv1)",Not reported,Not reported,"Cell type, 10 PCs"
Levy (2022) - Novel diagnostic DNA methylation episignatures,DNA methylation analysis in patients with neurodevelopmental disorders improves variant interpretation and reveals complexity,2024,Validated MPS algorithm,,Genetic syndromes,BAFopathy syndrome: Coffin-Siris 1-2 (CSS1-2),Peripheral blood,EPICv1,Not reported,Childhood and adolescence,Not reported,Levy (2022) - Novel diagnostic DNA methylation episignaturesBAFopathy syndrome: Coffin-Siris 1-2 (CSS1-2),Levy (2022) - Novel diagnostic DNA methylation episignatures,Genetic syndromes,BAFopathy syndrome: Coffin-Siris 1-2 (CSS1-2),Peripheral blood,"Multiple (450K, EPICv1)",Not reported,Childhood and adolescence,Cell type
Aref-Eshghi (2019) - Evaluation of DNA Methylation Episignatures,DNA methylation analysis in patients with neurodevelopmental disorders improves variant interpretation and reveals complexity,2024,Validated MPS algorithm,,Genetic syndromes,CHARGE syndrome,Peripheral blood,EPICv1,Not reported,Childhood and adolescence,Not reported,Aref-Eshghi (2019) - Evaluation of DNA Methylation EpisignaturesCHARGE syndrome,Aref-Eshghi (2019) - Evaluation of DNA Methylation Episignatures,Genetic syndromes,CHARGE syndrome,Peripheral blood,"Multiple (450K, EPICv1)",Not reported,Not reported,"Cell type, 10 PCs"
Aref-Eshghi (2019) - Evaluation of DNA Methylation Episignatures,DNA methylation analysis in patients with neurodevelopmental disorders improves variant interpretation and reveals complexity,2024,Validated MPS algorithm,,Genetic syndromes,Cornelia de Lange syndrome (CdLS),Peripheral blood,EPICv1,Not reported,Childhood and adolescence,Not reported,Aref-Eshghi (2019) - Evaluation of DNA Methylation EpisignaturesCornelia de Lange syndrome (CdLS),Aref-Eshghi (2019) - Evaluation of DNA Methylation Episignatures,Genetic syndromes,Cornelia de Lange syndrome (CdLS),Peripheral blood,"Multiple (450K, EPICv1)",Not reported,Not reported,"Cell type, 10 PCs"
Aref-Eshghi (2019) - Evaluation of DNA Methylation Episignatures,DNA methylation analysis in patients with neurodevelopmental disorders improves variant interpretation and reveals complexity,2024,Validated MPS algorithm,,Genetic syndromes,Kabuki syndrome,Peripheral blood,EPICv1,Not reported,Childhood and adolescence,Not reported,Aref-Eshghi (2019) - Evaluation of DNA Methylation EpisignaturesKabuki syndrome,Aref-Eshghi (2019) - Evaluation of DNA Methylation Episignatures,Genetic syndromes,Kabuki syndrome,Peripheral blood,"Multiple (450K, EPICv1)",Not reported,Not reported,"Cell type, 10 PCs"
Aref-Eshghi (2019) - Evaluation of DNA Methylation Episignatures,DNA methylation analysis in patients with neurodevelopmental disorders improves variant interpretation and reveals complexity,2024,Validated MPS algorithm,,Genetic syndromes,Kleefstra syndrome (Kleefstra),Peripheral blood,EPICv1,Not reported,Childhood and adolescence,Not reported,Aref-Eshghi (2019) - Evaluation of DNA Methylation EpisignaturesKleefstra syndrome (Kleefstra),Aref-Eshghi (2019) - Evaluation of DNA Methylation Episignatures,Genetic syndromes,Kleefstra syndrome (Kleefstra),Peripheral blood,"Multiple (450K, EPICv1)",Not reported,Not reported,"Cell type, 10 PCs"
Aref-Eshghi (2019) - Evaluation of DNA Methylation Episignatures,DNA methylation analysis in patients with neurodevelopmental disorders improves variant interpretation and reveals complexity,2024,Validated MPS algorithm,,Genetic syndromes,Koolen de Vreis syndrome (KDVS),Peripheral blood,EPICv1,Not reported,Childhood and adolescence,Not reported,Aref-Eshghi (2019) - Evaluation of DNA Methylation EpisignaturesKoolen de Vreis syndrome (KDVS),Aref-Eshghi (2019) - Evaluation of DNA Methylation Episignatures,Genetic syndromes,Koolen de Vreis syndrome (KDVS),Peripheral blood,"Multiple (450K, EPICv1)",Not reported,Not reported,"Cell type, 10 PCs"
Levy (2022) - Novel diagnostic DNA methylation episignatures,DNA methylation analysis in patients with neurodevelopmental disorders improves variant interpretation and reveals complexity,2024,Validated MPS algorithm,,Genetic syndromes,Renpenning syndrome (RENS1),Peripheral blood,EPICv1,Not reported,Childhood and adolescence,Not reported,Levy (2022) - Novel diagnostic DNA methylation episignaturesRenpenning syndrome (RENS1),Levy (2022) - Novel diagnostic DNA methylation episignatures,Genetic syndromes,Renpenning syndrome (RENS1),Peripheral blood,"Multiple (450K, EPICv1)",Not reported,Childhood and adolescence,Cell type
Aref-Eshghi (2019) - Evaluation of DNA Methylation Episignatures,DNA methylation analysis in patients with neurodevelopmental disorders improves variant interpretation and reveals complexity,2024,Validated MPS algorithm,,Genetic syndromes,Rubinstein-Taybi syndrome (RSTS),Peripheral blood,EPICv1,Not reported,Childhood and adolescence,Not reported,Aref-Eshghi (2019) - Evaluation of DNA Methylation EpisignaturesRubinstein-Taybi syndrome (RSTS),Aref-Eshghi (2019) - Evaluation of DNA Methylation Episignatures,Genetic syndromes,Rubinstein-Taybi syndrome (RSTS),Peripheral blood,"Multiple (450K, EPICv1)",Not reported,Not reported,"Cell type, 10 PCs"
Aref-Eshghi (2019) - Evaluation of DNA Methylation Episignatures,DNA methylation analysis in patients with neurodevelopmental disorders improves variant interpretation and reveals complexity,2024,Validated MPS algorithm,,Genetic syndromes,Williams–Beuren deletion syndrome (WBS),Peripheral blood,EPICv1,Not reported,Childhood and adolescence,Not reported,Aref-Eshghi (2019) - Evaluation of DNA Methylation EpisignaturesWilliams–Beuren deletion syndrome (WBS),Aref-Eshghi (2019) - Evaluation of DNA Methylation Episignatures,Genetic syndromes,Williams–Beuren deletion syndrome (WBS),Peripheral blood,"Multiple (450K, EPICv1)",Not reported,Not reported,"Cell type, 10 PCs"
Unclear - EpiSignv2,DNA methylation analysis in patients with neurodevelopmental disorders improves variant interpretation and reveals complexity,2024,Validated MPS algorithm,,Genetic syndromes,Wolf-Hirschhorn syndrome (WHS),Peripheral blood,EPICv1,Not reported,Childhood and adolescence,Not reported,Unclear - EpiSignv2Wolf-Hirschhorn syndrome (WHS),Unclear - EpiSignv2,Genetic syndromes,Wolf-Hirschhorn syndrome (WHS),Peripheral blood,"Multiple (450K, EPICv1)",Not reported,Not reported,"Cell type, 10 PCs"
Gadd (2023) - Epigenetic scores for the circulating,DNA methylation models of protein abundance across the lifecourse,2024,Validated MPS algorithm,No,Biological markers,CCL11,Peripheral blood,"Multiple (450K, EPICv1)",European,Mid childhood,Not reported,Gadd (2023) - Epigenetic scores for the circulatingCCL11,Gadd (2023) - Epigenetic scores for the circulating,Biological markers,CCL11,Whole blood,450K,European,Adults,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,DNA methylation models of protein abundance across the lifecourse,2024,Validated MPS algorithm,No,Biological markers,CCL25,Peripheral blood,"Multiple (450K, EPICv1)",European,Mid childhood,Not reported,Gadd (2023) - Epigenetic scores for the circulatingCCL25,Gadd (2023) - Epigenetic scores for the circulating,Biological markers,CCL25,Whole blood,450K,European,Adults,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,DNA methylation models of protein abundance across the lifecourse,2024,Validated MPS algorithm,No,Biological markers,CD6,Peripheral blood,"Multiple (450K, EPICv1)",European,Mid childhood,Not reported,Gadd (2023) - Epigenetic scores for the circulatingCD6,Gadd (2023) - Epigenetic scores for the circulating,Biological markers,CD6,Whole blood,450K,European,Adults,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,DNA methylation models of protein abundance across the lifecourse,2024,Validated MPS algorithm,No,Biological markers,CXCL10,Peripheral blood,"Multiple (450K, EPICv1)",European,Mid childhood,Not reported,Gadd (2023) - Epigenetic scores for the circulatingCXCL10,Gadd (2023) - Epigenetic scores for the circulating,Biological markers,CXCL10,Whole blood,450K,European,Adults,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
