Author,Year,Title,Journal,DOI,n MPSs,Phenotype(s),Category,n CpGs,Based on,Sample type,Sample size,Developmental period,Tissue,Array,Ancestry,Author_list,Date
Radio et al.,2021.0,SPEN haploinsufficiency causes a neurodevelopmental disorder overlapping proximal 1p36 deletion syndrome with an episignature of X chromosomes in females,Am J Hum Genet,10.1016/j.ajhg.2021.01.015,1.0,SPEN haploinsufficiency syndrome,Genetic syndromes,122.0,Raw individual-level data,Case control,40.0,Childhood and adolescence,Peripheral blood,EPICv1,European,"['Radio, F. C.', 'Pang, K.', 'Ciolfi, A.', 'Levy, M. A.', 'Hernandez-Garcia, A.', 'Pedace, L.', 'Pantaleoni, F.', 'Liu, Z.', 'de Boer, E.', 'Jackson, A.', 'Bruselles, A.', 'McConkey, H.', 'Stellacci, E.', 'Lo Cicero, S.', 'Motta, M.', 'Carrozzo, R.', 'Dentici, M. L.', 'McWalter, K.', 'Desai, M.', 'Monaghan, K. G.', 'Telegrafi, A.', 'Philippe, C.', 'Vitobello, A.', 'Au, M.', 'Grand, K.', 'Sanchez-Lara, P. A.', 'Baez, J.', 'Lindstrom, K.', 'Kulch, P.', 'Sebastian, J.', 'Madan-Khetarpal, S.', 'Roadhouse, C.', 'MacKenzie, J. J.', 'Monteleone, B.', 'Saunders, C. J.', 'Jean Cuevas, J. K.', 'Cross, L.', 'Zhou, D.', 'Hartley, T.', 'Sawyer, S. L.', 'Monteiro, F. P.', 'Secches, T. V.', 'Kok, F.', 'Schultz-Rogers, L. E.', 'Macke, E. L.', 'Morava, E.', 'Klee, E. W.', 'Kemppainen, J.', 'Iascone, M.', 'Selicorni, A.', 'Tenconi, R.', 'Amor, D. J.', 'Pais, L.', 'Gallacher, L.', 'Turnpenny, P. D.', 'Stals, K.', 'Ellard, S.', 'Cabet, S.', 'Lesca, G.', 'Pascal, J.', 'Steindl, K.', 'Ravid, S.', 'Weiss, K.', 'Castle, A. M. R.', 'Carter, M. T.', 'Kalsner, L.', 'de Vries, B. B. A.', 'van Bon, B. W.', 'Wevers, M. R.', 'Pfundt, R.', 'Stegmann, A. P. A.', 'Kerr, B.', 'Kingston, H. M.', 'Chandler, K. E.', 'Sheehan, W.', 'Elias, A. F.', 'Shinde, D. N.', 'Towne, M. C.', 'Robin, N. H.', 'Goodloe, D.', 'Vanderver, A.', 'Sherbini, O.', 'Bluske, K.', 'Hagelstrom, R. T.', 'Zanus, C.', 'Faletra, F.', 'Musante, L.', 'Kurtz-Nelson, E. C.', 'Earl, R. K.', 'Anderlid, B. M.', 'Morin, G.', 'van Slegtenhorst, M.', 'Diderich, K. E. M.', 'Brooks, A. S.', 'Gribnau, J.', 'Boers, R. G.', 'Finestra, T. R.', 'Carter, L. B.', 'Rauch, A.', 'Gasparini, P.', 'et al.']",2021-03-04
Bogaert et al.,2023.0,SRSF1 haploinsufficiency is responsible for a syndromic developmental disorder associated with intellectual disability,Am J Hum Genet,10.1016/j.ajhg.2023.03.016,1.0,SRSF1 haploinsufficiency NDD syndrome,Genetic syndromes,107.0,Raw individual-level data,Case control,54.0,Childhood and adolescence,Peripheral blood,"Multiple (450K, EPICv1)",Not reported,"['Bogaert, E.', 'Garde, A.', 'Gautier, T.', 'Rooney, K.', 'Duffourd, Y.', 'LeBlanc, P.', 'van Reempts, E.', 'Tran Mau-Them, F.', 'Wentzensen, I. M.', 'Au, K. S.', 'Richardson, K.', 'Northrup, H.', 'Gatinois, V.', 'Genevieve, D.', 'Louie, R. J.', 'Lyons, M. J.', 'Laulund, L. W.', 'Brasch-Andersen, C.', 'Maxel Juul, T.', 'El It, F.', 'Marle, N.', 'Callier, P.', 'Relator, R.', 'Haghshenas, S.', 'McConkey, H.', 'Kerkhof, J.', 'Cesario, C.', 'Novelli, A.', 'Brunetti-Pierri, N.', 'Pinelli, M.', 'Pennamen, P.', 'Naudion, S.', 'Legendre, M.', 'Courdier, C.', 'Trimouille, A.', 'Fenzy, M. D.', 'Pais, L.', 'Yeung, A.', 'Nugent, K.', 'Roeder, E. R.', 'Mitani, T.', 'Posey, J. E.', 'Calame, D.', 'Yonath, H.', 'Rosenfeld, J. A.', 'Musante, L.', 'Faletra, F.', 'Montanari, F.', 'Sartor, G.', 'Vancini, A.', 'Seri, M.', 'Besmond, C.', 'Poirier, K.', 'Hubert, L.', 'Hemelsoet, D.', 'Munnich, A.', 'Lupski, J. R.', 'Philippe, C.', 'Thauvin-Robinet, C.', 'Faivre, L.', 'Sadikovic, B.', 'Govin, J.', 'Dermaut, B.', 'Vitobello, A.']",2023-05-04
Tieskens et al.,2023.0,Sensation-seeking-related DNA methylation and the development of delinquency: A longitudinal epigenome-wide study,Dev Psychopathol,10.1017/s0954579422000049,3.0,Sensation-seeking,Lifestyle and environment,20.0,Raw individual-level data,Population-based,905.0,"Multiple (Adolescence, Birth, Mid childhood)","Multiple (Peripheral blood, Cord blood)",450K,European,"['Tieskens, J. M.', 'van Lier, P. A. C.', 'Buil, J. M.', 'Barker, E. D.']",2023-05-03
deSteiguer et al.,2025.0,Stability of Aging- and Cognition-Related Methylation Profile Scores Across Two Waves in Children and Adolescents,Child Dev,10.1111/cdev.14239,1.0,Cognitive functioning,Neuro-psychiatric health indicators,764525.0,Pre-established MPS,Twin study,407.0,Late childhood,Saliva,EPICv1,Mixed,"['deSteiguer, A. J.', 'Raffington, L.', 'Sabhlok, A.', 'Tanksley, P.', 'Tucker-Drob, E. M.', 'Harden, K. P.']",2025-04-02
Merrill et al.,2024.0,Telehealth Parenting Program and Salivary Epigenetic Biomarkers in Preschool Children With Developmental Delay: NIMHD Social Epigenomics Program,JAMA netw open,10.1001/jamanetworkopen.2024.24815,2.0,"Multiple (C-reactive protein, IL6)",Biological markers,"Multiple (8.0, 35.0)",Pre-established MPS,Case control,71.0,Early childhood,Saliva,EPICv1,Mixed,"['Merrill, S. M.', 'Hogan, C.', 'Bozack, A. K.', 'Cardenas, A.', 'Comer, J. S.', 'Bagner, D. M.', 'Highlander, A.', 'Parent, J.']",2024-07-01
Reed et al.,2020.0,The association of DNA methylation with body mass index: distinguishing between predictors and biomarkers,Clin Epigenetics,10.1186/s13148-020-00841-5,3.0,BMI,Physical health indicators,135.0,Published summary statistics (semi-supervised),Population-based,906.0,"Multiple (Adolescence, Birth, Mid childhood)","Multiple (Peripheral blood, Cord blood)",450K,European,"['Reed, Z. E.', 'Suderman, M. J.', 'Relton, C. L.', 'Davis, O. S. P.', 'Hemani, G.']",2020-03-30
Vos et al.,2024.0,"The detection of a strong episignature for Chung-Jansen syndrome, partially overlapping with Borjeson-Forssman-Lehmann and White-Kernohan syndromes",Hum Genet,10.1007/s00439-024-02679-w,2.0,"Multiple (Chung-Jansen syndrome, Combined Chung-Jansen, Börjeson–Forssman–Lehmann and White–Kernohan syndromes)",Genetic syndromes,"Multiple (212.0, 213.0)",Raw individual-level data,Case control,"Multiple (79.0, 93.0)",Childhood and adolescence,Whole blood,EPICv1,Not reported,"['Vos, N.', 'Haghshenas, S.', 'van der Laan, L.', 'Russel, P. K. M.', 'Rooney, K.', 'Levy, M. A.', 'Relator, R.', 'Kerkhof, J.', 'McConkey, H.', 'Maas, S. M.', 'Vissers, Lelm', 'de Vries, B. B. A.', 'Pfundt, R.', 'Elting, M. W.', 'van Hagen, J. M.', 'Verbeek, N. E.', 'Jongmans, M. C. J.', 'Lakeman, P.', 'Rumping, L.', 'Bosch, D. G. M.', 'Vitobello, A.', 'Thauvin-Robinet, C.', 'Faivre, L.', 'Nambot, S.', 'Garde, A.', 'Willems, M.', 'Genevieve, D.', 'Nicolas, G.', 'Busa, T.', 'Toutain, A.', 'Gerard, M.', 'Bizaoui, V.', 'Isidor, B.', 'Merla, G.', 'Accadia, M.', 'Schwartz, C. E.', 'Ounap, K.', 'Hoffer, M. J. V.', 'Nezarati, M. M.', 'van den Boogaard, M. H.', 'Tedder, M. L.', 'Rogers, C.', 'Brusco, A.', 'Ferrero, G. B.', 'Spodenkiewicz, M.', 'Sidlow, R.', 'Mussa, A.', 'Trajkova, S.', 'McCann, E.', 'Mroczkowski, H. J.', 'Jansen, S.', 'Donker-Kaat, L.', 'Duijkers, F. A. M.', 'Stuurman, K. E.', 'Mannens, Mmam', 'Alders, M.', 'Henneman, P.', 'White, S. M.', 'Sadikovic, B.', 'van Haelst, M. M.']",2024-06-03
Schreyer et al.,2023.0,The discovery of the DNA methylation episignature for Duchenne muscular dystrophy,Neuromuscular Disord,10.1016/j.nmd.2022.12.003,1.0,Duchenne Muscular Dystrophy (DMD),Genetic syndromes,158.0,Raw individual-level data,Case control,93.0,Childhood and adolescence,Peripheral blood,EPICv1,Not reported,"['Schreyer, L.', 'Reilly, J.', 'McConkey, H.', 'Kerkhof, J.', 'Levy, M. A.', 'Hu, J.', 'Hnaini, M.', 'Sadikovic, B.', 'Campbell, C.']",2023-01-03
Dingemans et al.,2022.0,The phenotypic spectrum and genotype-phenotype correlations in 106 patients with variants in major autism gene CHD8,Transl Psychiatry,10.1038/s41398-022-02189-1,1.0,AUTS18 syndrome / Intellectual developmental disorder with autism and macrocephaly (IDDAM),Genetic syndromes,,Pre-established MPS,Cohort study,13.0,Childhood and adolescence,Not reported,EPICv1,Not reported,"['Dingemans, A. J. M.', 'Truijen, K. M. G.', 'van de Ven, S.', 'Bernier, R.', 'Bongers, E. M. H. F.', 'Bouman, A.', 'de Graaff – Herder, L.', 'Eichler, E. E.', 'Gerkes, E. H.', 'De Geus, C. M.', 'van Hagen, J. M.', 'Jansen, P. R.', 'Kerkhof, J.', 'Kievit, A. J. A.', 'Kleefstra, T.', 'Maas, S. M.', 'de Man, S. A.', 'McConkey, H.', 'Patterson, W. G.', 'Dobson, A. T.', 'Prijoles, E. J.', 'Sadikovic, B.', 'Relator, R.', 'Stevenson, R. E.', 'Stumpel, C. T. R. M.', 'Heijligers, M.', 'Stuurman, K. E.', 'Löhner, K.', 'Zeidler, S.', 'Lee, J. A.', 'Lindy, A.', 'Zou, F.', 'Tedder, M. L.', 'Vissers, L. E. L. M.', 'de Vries, B. B. A.']",2022-10-11
Lopez-Nunez et al.,2021.0,The spectrum of rare central nervous system (CNS) tumors with EWSR1-non-ETS fusions: experience from three pediatric institutions with review of the literature,Brain Pathol,10.1111/bpa.12900,1.0,Brain tumour,Cancer,,Pre-established MPS,Cohort study,5.0,Childhood and adolescence,Tumour cells,EPICv1,Not reported,"['Lopez-Nunez, O.', 'Cafferata, B.', 'Santi, M.', 'Ranganathan, S.', 'Pearce, T. M.', 'Kulich, S. M.', 'Bailey, K. M.', 'Broniscer, A.', 'Rossi, S.', 'Zin, A.', 'Nasrallah, M. P.', 'Li, M. M.', 'Zhong, Y.', 'Miele, E.', 'Alaggio, R.', 'Surrey, L. F.']",2021-01-03
Stehr et al.,2025.0,Variable expressivity of KMT2B variants at codon 2565 in patients with dystonia and developmental disorders,Parkinsonism Relat Disord,10.1016/j.parkreldis.2025.107319,1.0,Kabuki syndrome,Genetic syndromes,97.0,Pre-established MPS,Cohort study,2.0,Adolescence,Whole blood,EPICv2,Not reported,"['Stehr, A. M.', 'Fischer, J.', 'Mirza-Schreiber, N.', 'Bernardi, K.', 'Porrmann, J.', 'Harrer, P.', 'Kaiser, F.', 'Jamra, R. A.', 'Winkelmann, J.', 'Jech, R.', 'Koy, A.', 'Oexle, K.', 'Zech, M.']",2025-04-03
