Phenotype [application],Phenotype [development],Category [application],Category [development],Author,Year,Title,n CpGs [application],n CpGs [development],Based on,Sample size [application],Sample size [development],n Cases [application],n Cases [development],n Controls [application],n Controls [development],Sample type [application],Sample type [development],Developmental period [application],Developmental period [development],Tissue [application],Tissue [development],Array [application],Array [development],Ancestry [application],Ancestry [development],Dimension reduction (1) [application],Dimension reduction (1) [development],Dimension reduction (2) [application],Dimension reduction (2) [development],Dimension reduction (3) [application],Dimension reduction (3) [development],Dimension reduction (4) [application],Dimension reduction (4) [development],Dimension reduction (5) [application],Dimension reduction (5) [development],Weights estimation [application],Weights estimation [development],Internal validation [application],Internal validation [development],External validation [application],External validation [development],Performance [application],Performance [development],Comparison [application],Comparison [development],Missing_value_note [application],Missing_value_note [development],Covariates [application],Covariates [development],Link [application],Link [development],Sample_overlap_target_base [application],Sample_overlap_target_base [development]
Adiponectin,Adiponectin,Biological markers,Biological markers,K. McKinnon; E. L. S. Conole; K. Vaher; R. F. Hillary; D. A. Gadd; J. Binkowska; G. Sullivan; A. J. Stevenson; A. Corrigan; L. Murphy; H. C. Whalley; H. Richardson; R. E. Marioni; S. R. Cox; J. P. Boardman,2024.0,Epigenetic scores derived in saliva are associated with gestational age at birth,39.0,39.0,Pre-established MPS,332.0,1819.0,,,,,Cohort study,Population-based cohort,Birth,Adulthood,Saliva,Whole blood,EPICv1,450K,White,European,,Association DNAm phenotype | Effect size * P-value | top-ranking 999,,Association DNAm phenotype | AUC | top-ranking 100-149,,Pruning | R-squared | 0.60-0.79,,,,,,Penalized regression | Elastic net,No,Train/test split: 80/20% | Cross-validation ?,No,Yes (n = 9537),Not assessed,"Reported | r>.1, p<.05",No,No,Not reported,No,"age at sample, birthweight z-score, sex, and methylation processing batch","age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses","http://dx.doi.org/10.1186/s13148-024-01701-2_x000D_
http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?holding=inleurlib_fft&cmd=Retrieve&db=PubMed&dopt=Citation&list_uids=38951914_x000D_
https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=mesx&DO=10.1186%2fs13148-024-01701-3",https://elifesciences.org/articles/71802,No,
Afamin,Afamin,Biological markers,Biological markers,K. McKinnon; E. L. S. Conole; K. Vaher; R. F. Hillary; D. A. Gadd; J. Binkowska; G. Sullivan; A. J. Stevenson; A. Corrigan; L. Murphy; H. C. Whalley; H. Richardson; R. E. Marioni; S. R. Cox; J. P. Boardman,2024.0,Epigenetic scores derived in saliva are associated with gestational age at birth,37.0,37.0,Pre-established MPS,332.0,1819.0,,,,,Cohort study,Population-based cohort,Birth,Adulthood,Saliva,Whole blood,EPICv1,450K,White,European,,Association DNAm phenotype | Effect size * P-value | top-ranking 999,,Association DNAm phenotype | AUC | top-ranking 100-149,,Pruning | R-squared | 0.60-0.79,,,,,,Penalized regression | Elastic net,No,Train/test split: 80/20% | Cross-validation ?,No,Yes (n = 9537),Not assessed,"Reported | r>.1, p<.05",No,No,Not reported,No,"age at sample, birthweight z-score, sex, and methylation processing batch","age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses","http://dx.doi.org/10.1186/s13148-024-01701-2_x000D_
http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?holding=inleurlib_fft&cmd=Retrieve&db=PubMed&dopt=Citation&list_uids=38951914_x000D_
https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=mesx&DO=10.1186%2fs13148-024-01701-4",https://elifesciences.org/articles/71802,No,
Alpha-L-iduronidase,Alpha-L-iduronidase,Biological markers,Biological markers,K. McKinnon; E. L. S. Conole; K. Vaher; R. F. Hillary; D. A. Gadd; J. Binkowska; G. Sullivan; A. J. Stevenson; A. Corrigan; L. Murphy; H. C. Whalley; H. Richardson; R. E. Marioni; S. R. Cox; J. P. Boardman,2024.0,Epigenetic scores derived in saliva are associated with gestational age at birth,67.0,67.0,Pre-established MPS,332.0,1819.0,,,,,Cohort study,Population-based cohort,Birth,Adulthood,Saliva,Whole blood,EPICv1,450K,White,European,,Association DNAm phenotype | Effect size * P-value | top-ranking 999,,Association DNAm phenotype | AUC | top-ranking 100-149,,Pruning | R-squared | 0.60-0.79,,,,,,Penalized regression | Elastic net,No,Train/test split: 80/20% | Cross-validation ?,No,Yes (n = 9537),Not assessed,"Reported | r>.1, p<.05",No,No,Not reported,No,"age at sample, birthweight z-score, sex, and methylation processing batch","age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses","http://dx.doi.org/10.1186/s13148-024-01701-2_x000D_
http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?holding=inleurlib_fft&cmd=Retrieve&db=PubMed&dopt=Citation&list_uids=38951914_x000D_
https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=mesx&DO=10.1186%2fs13148-024-01701-5",https://elifesciences.org/articles/71802,No,
Aminoacylase-1,Aminoacylase-1,Biological markers,Biological markers,K. McKinnon; E. L. S. Conole; K. Vaher; R. F. Hillary; D. A. Gadd; J. Binkowska; G. Sullivan; A. J. Stevenson; A. Corrigan; L. Murphy; H. C. Whalley; H. Richardson; R. E. Marioni; S. R. Cox; J. P. Boardman,2024.0,Epigenetic scores derived in saliva are associated with gestational age at birth,395.0,395.0,Pre-established MPS,332.0,1819.0,,,,,Cohort study,Population-based cohort,Birth,Adulthood,Saliva,Whole blood,EPICv1,450K,White,European,,Association DNAm phenotype | Effect size * P-value | top-ranking 999,,Association DNAm phenotype | AUC | top-ranking 100-149,,Pruning | R-squared | 0.60-0.79,,,,,,Penalized regression | Elastic net,No,Train/test split: 80/20% | Cross-validation ?,No,Yes (n = 9537),Not assessed,"Reported | r>.1, p<.05",No,No,Not reported,No,"age at sample, birthweight z-score, sex, and methylation processing batch","age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses","http://dx.doi.org/10.1186/s13148-024-01701-2_x000D_
http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?holding=inleurlib_fft&cmd=Retrieve&db=PubMed&dopt=Citation&list_uids=38951914_x000D_
https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=mesx&DO=10.1186%2fs13148-024-01701-6",https://elifesciences.org/articles/71802,No,
Beta-2-microglobulin,Beta-2-microglobulin,Biological markers,Biological markers,K. McKinnon; E. L. S. Conole; K. Vaher; R. F. Hillary; D. A. Gadd; J. Binkowska; G. Sullivan; A. J. Stevenson; A. Corrigan; L. Murphy; H. C. Whalley; H. Richardson; R. E. Marioni; S. R. Cox; J. P. Boardman,2024.0,Epigenetic scores derived in saliva are associated with gestational age at birth,311.0,311.0,Pre-established MPS,332.0,1819.0,,,,,Cohort study,Population-based cohort,Birth,Adulthood,Saliva,Whole blood,EPICv1,450K,White,European,,Association DNAm phenotype | Effect size * P-value | top-ranking 999,,Association DNAm phenotype | AUC | top-ranking 100-149,,Pruning | R-squared | 0.60-0.79,,,,,,Penalized regression | Elastic net,No,Train/test split: 80/20% | Cross-validation ?,No,Yes (n = 9537),Not assessed,"Reported | r>.1, p<.05",No,No,Not reported,No,"age at sample, birthweight z-score, sex, and methylation processing batch","age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses","http://dx.doi.org/10.1186/s13148-024-01701-2_x000D_
http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?holding=inleurlib_fft&cmd=Retrieve&db=PubMed&dopt=Citation&list_uids=38951914_x000D_
https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=mesx&DO=10.1186%2fs13148-024-01701-7",https://elifesciences.org/articles/71802,No,
BMP1,BMP1,Biological markers,Biological markers,K. McKinnon; E. L. S. Conole; K. Vaher; R. F. Hillary; D. A. Gadd; J. Binkowska; G. Sullivan; A. J. Stevenson; A. Corrigan; L. Murphy; H. C. Whalley; H. Richardson; R. E. Marioni; S. R. Cox; J. P. Boardman,2024.0,Epigenetic scores derived in saliva are associated with gestational age at birth,67.0,67.0,Pre-established MPS,332.0,1819.0,,,,,Cohort study,Population-based cohort,Birth,Adulthood,Saliva,Whole blood,EPICv1,450K,White,European,,Association DNAm phenotype | Effect size * P-value | top-ranking 1000,,Association DNAm phenotype | AUC | top-ranking 100-150,,Pruning | R-squared | 0.60-0.80,,,,,,Penalized regression | Elastic net,No,Train/test split: 80/20% | Cross-validation ?,No,Yes (n = 9537),Not assessed,"Reported | r>.1, p<.05",No,No,Not reported,No,"age at sample, birthweight z-score, sex, and methylation processing batch","age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses","http://dx.doi.org/10.1186/s13148-024-01701-2_x000D_
http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?holding=inleurlib_fft&cmd=Retrieve&db=PubMed&dopt=Citation&list_uids=38951914_x000D_
https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=mesx&DO=10.1186%2fs13148-024-01701-8",https://elifesciences.org/articles/71802,No,
CCL11,CCL11,Biological markers,Biological markers,K. McKinnon; E. L. S. Conole; K. Vaher; R. F. Hillary; D. A. Gadd; J. Binkowska; G. Sullivan; A. J. Stevenson; A. Corrigan; L. Murphy; H. C. Whalley; H. Richardson; R. E. Marioni; S. R. Cox; J. P. Boardman,2024.0,Epigenetic scores derived in saliva are associated with gestational age at birth,45.0,45.0,Pre-established MPS,332.0,1819.0,,,,,Cohort study,Population-based cohort,Birth,Adulthood,Saliva,Whole blood,EPICv1,450K,White,European,,Association DNAm phenotype | Effect size * P-value | top-ranking 1000,,Association DNAm phenotype | AUC | top-ranking 100-150,,Pruning | R-squared | 0.60-0.80,,,,,,Penalized regression | Elastic net,No,Train/test split: 80/20% | Cross-validation ?,No,Yes (n = 9537),Not assessed,"Reported | r>.1, p<.05",No,No,Not reported,No,"age at sample, birthweight z-score, sex, and methylation processing batch","age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses","http://dx.doi.org/10.1186/s13148-024-01701-2_x000D_
http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?holding=inleurlib_fft&cmd=Retrieve&db=PubMed&dopt=Citation&list_uids=38951914_x000D_
https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=mesx&DO=10.1186%2fs13148-024-01701-9",https://elifesciences.org/articles/71802,No,
CCL17,CCL17,Biological markers,Biological markers,K. McKinnon; E. L. S. Conole; K. Vaher; R. F. Hillary; D. A. Gadd; J. Binkowska; G. Sullivan; A. J. Stevenson; A. Corrigan; L. Murphy; H. C. Whalley; H. Richardson; R. E. Marioni; S. R. Cox; J. P. Boardman,2024.0,Epigenetic scores derived in saliva are associated with gestational age at birth,364.0,364.0,Pre-established MPS,332.0,1819.0,,,,,Cohort study,Population-based cohort,Birth,Adulthood,Saliva,Whole blood,EPICv1,450K,White,European,,,,,,,,,,,,Penalized regression | Elastic net,No,Train/test split: 80/20% | Cross-validation ?,No,Yes (n = 9537),Not assessed,"Reported | r>.1, p<.05",No,No,Not reported,No,"age at sample, birthweight z-score, sex, and methylation processing batch","age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses","http://dx.doi.org/10.1186/s13148-024-01701-2_x000D_
http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?holding=inleurlib_fft&cmd=Retrieve&db=PubMed&dopt=Citation&list_uids=38951914_x000D_
https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=mesx&DO=10.1186%2fs13148-024-01701-10",https://elifesciences.org/articles/71802,No,
CCL18,CCL18,Biological markers,Biological markers,K. McKinnon; E. L. S. Conole; K. Vaher; R. F. Hillary; D. A. Gadd; J. Binkowska; G. Sullivan; A. J. Stevenson; A. Corrigan; L. Murphy; H. C. Whalley; H. Richardson; R. E. Marioni; S. R. Cox; J. P. Boardman,2024.0,Epigenetic scores derived in saliva are associated with gestational age at birth,119.0,119.0,Pre-established MPS,332.0,1819.0,,,,,Cohort study,Population-based cohort,Birth,Adulthood,Saliva,Whole blood,EPICv1,450K,White,European,,,,,,,,,,,,Penalized regression | Elastic net,No,Train/test split: 80/20% | Cross-validation ?,No,Yes (n = 9537),Not assessed,"Reported | r>.1, p<.05",No,No,Not reported,No,"age at sample, birthweight z-score, sex, and methylation processing batch","age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses","http://dx.doi.org/10.1186/s13148-024-01701-2_x000D_
http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?holding=inleurlib_fft&cmd=Retrieve&db=PubMed&dopt=Citation&list_uids=38951914_x000D_
https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=mesx&DO=10.1186%2fs13148-024-01701-11",https://elifesciences.org/articles/71802,No,
CCL21,CCL21,Biological markers,Biological markers,K. McKinnon; E. L. S. Conole; K. Vaher; R. F. Hillary; D. A. Gadd; J. Binkowska; G. Sullivan; A. J. Stevenson; A. Corrigan; L. Murphy; H. C. Whalley; H. Richardson; R. E. Marioni; S. R. Cox; J. P. Boardman,2024.0,Epigenetic scores derived in saliva are associated with gestational age at birth,98.0,98.0,Pre-established MPS,332.0,1819.0,,,,,Cohort study,Population-based cohort,Birth,Adulthood,Saliva,Whole blood,EPICv1,450K,White,European,,,,,,,,,,,,Penalized regression | Elastic net,No,Train/test split: 80/20% | Cross-validation ?,No,Yes (n = 9537),Not assessed,"Reported | r>.1, p<.05",No,No,Not reported,No,"age at sample, birthweight z-score, sex, and methylation processing batch","age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses","http://dx.doi.org/10.1186/s13148-024-01701-2_x000D_
http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?holding=inleurlib_fft&cmd=Retrieve&db=PubMed&dopt=Citation&list_uids=38951914_x000D_
https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=mesx&DO=10.1186%2fs13148-024-01701-12",https://elifesciences.org/articles/71802,No,
CCL22,CCL22,Biological markers,Biological markers,K. McKinnon; E. L. S. Conole; K. Vaher; R. F. Hillary; D. A. Gadd; J. Binkowska; G. Sullivan; A. J. Stevenson; A. Corrigan; L. Murphy; H. C. Whalley; H. Richardson; R. E. Marioni; S. R. Cox; J. P. Boardman,2024.0,Epigenetic scores derived in saliva are associated with gestational age at birth,36.0,36.0,Pre-established MPS,332.0,1819.0,,,,,Cohort study,Population-based cohort,Birth,Adulthood,Saliva,Whole blood,EPICv1,450K,White,European,,,,,,,,,,,,Penalized regression | Elastic net,No,Train/test split: 80/20% | Cross-validation ?,No,Yes (n = 9537),Not assessed,"Reported | r>.1, p<.05",No,No,Not reported,No,"age at sample, birthweight z-score, sex, and methylation processing batch","age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses","http://dx.doi.org/10.1186/s13148-024-01701-2_x000D_
http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?holding=inleurlib_fft&cmd=Retrieve&db=PubMed&dopt=Citation&list_uids=38951914_x000D_
https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=mesx&DO=10.1186%2fs13148-024-01701-13",https://elifesciences.org/articles/71802,No,
CCL25,CCL25,Biological markers,Biological markers,K. McKinnon; E. L. S. Conole; K. Vaher; R. F. Hillary; D. A. Gadd; J. Binkowska; G. Sullivan; A. J. Stevenson; A. Corrigan; L. Murphy; H. C. Whalley; H. Richardson; R. E. Marioni; S. R. Cox; J. P. Boardman,2024.0,Epigenetic scores derived in saliva are associated with gestational age at birth,59.0,59.0,Pre-established MPS,332.0,1819.0,,,,,Cohort study,Population-based cohort,Birth,Adulthood,Saliva,Whole blood,EPICv1,450K,White,European,,,,,,,,,,,,Penalized regression | Elastic net,No,Train/test split: 80/20% | Cross-validation ?,No,Yes (n = 9537),Not assessed,"Reported | r>.1, p<.05",No,No,Not reported,No,"age at sample, birthweight z-score, sex, and methylation processing batch","age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses","http://dx.doi.org/10.1186/s13148-024-01701-2_x000D_
http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?holding=inleurlib_fft&cmd=Retrieve&db=PubMed&dopt=Citation&list_uids=38951914_x000D_
https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=mesx&DO=10.1186%2fs13148-024-01701-14",https://elifesciences.org/articles/71802,No,
CD163,CD163,Biological markers,Biological markers,K. McKinnon; E. L. S. Conole; K. Vaher; R. F. Hillary; D. A. Gadd; J. Binkowska; G. Sullivan; A. J. Stevenson; A. Corrigan; L. Murphy; H. C. Whalley; H. Richardson; R. E. Marioni; S. R. Cox; J. P. Boardman,2024.0,Epigenetic scores derived in saliva are associated with gestational age at birth,151.0,151.0,Pre-established MPS,332.0,1819.0,,,,,Cohort study,Population-based cohort,Birth,Adulthood,Saliva,Whole blood,EPICv1,450K,White,European,,,,,,,,,,,,Penalized regression | Elastic net,No,Train/test split: 80/20% | Cross-validation ?,No,Yes (n = 9537),Not assessed,"Reported | r>.1, p<.05",No,No,Not reported,No,"age at sample, birthweight z-score, sex, and methylation processing batch","age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses","http://dx.doi.org/10.1186/s13148-024-01701-2_x000D_
http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?holding=inleurlib_fft&cmd=Retrieve&db=PubMed&dopt=Citation&list_uids=38951914_x000D_
https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=mesx&DO=10.1186%2fs13148-024-01701-15",https://elifesciences.org/articles/71802,No,
CD209,CD209,Biological markers,Biological markers,K. McKinnon; E. L. S. Conole; K. Vaher; R. F. Hillary; D. A. Gadd; J. Binkowska; G. Sullivan; A. J. Stevenson; A. Corrigan; L. Murphy; H. C. Whalley; H. Richardson; R. E. Marioni; S. R. Cox; J. P. Boardman,2024.0,Epigenetic scores derived in saliva are associated with gestational age at birth,163.0,163.0,Pre-established MPS,332.0,1819.0,,,,,Cohort study,Population-based cohort,Birth,Adulthood,Saliva,Whole blood,EPICv1,450K,White,European,,,,,,,,,,,,Penalized regression | Elastic net,No,Train/test split: 80/20% | Cross-validation ?,No,Yes (n = 9537),Not assessed,"Reported | r>.1, p<.05",No,No,Not reported,No,"age at sample, birthweight z-score, sex, and methylation processing batch","age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses","http://dx.doi.org/10.1186/s13148-024-01701-2_x000D_
http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?holding=inleurlib_fft&cmd=Retrieve&db=PubMed&dopt=Citation&list_uids=38951914_x000D_
https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=mesx&DO=10.1186%2fs13148-024-01701-16",https://elifesciences.org/articles/71802,No,
