Author,Year,Title,DOI,Phenotype,Category,n MPSs,n CpGs,Based on,Sample size,n Cases,n Controls,Sample type,Developmental period,Tissue,Array,Ancestry,Publication type,Journal,Dimension reduction (1),Dimension reduction (2),Dimension reduction (3),Dimension reduction (4),Dimension reduction (5),Weights estimation,Internal validation,External validation,Performance,Comparison,Missing_value_note,Covariates
S. Haghshenas; K. Karimi; R. E. Stevenson; M. A. Levy; R. Relator; J. Kerkhof; J. Rzasa; H. McConkey; C. Lauzon-Young; T. B. Balci; A. M. White-Brown; M. T. Carter; J. Richer; C. M. Armour; S. L. Sawyer; P. T. Bhola; M. L. Tedder; C. D. Skinner; I. A. L. M. van Rooij; R. van de Putte; I. de Blaauw; R. M. Koeck; A. Hoischen; H. Brunner; M. Z. Esteki; A. Pelet; S. Lyonnet; J. Amiel; K. M. Boycott; B. Sadikovic,2024.0,Identification of a DNA methylation episignature for recurrent constellations of embryonic malformations,,Recurrent constellations of embryonic malformations,Genetic syndromes,1.0,377.0,Raw (individual-level) data,120.0,40.0,80.0,Case control,Childhood and adolescence,Peripheral blood,EPICv1,Not reported,Journal Article,Am J Hum Genet,Association DNAm phenotype | P-value | top-ranking 800,Association DNAm phenotype | P-value | top-ranking 800,Association DNAm phenotype | AUC | top-ranking 400,Pruning | Pairwise correlation | < 0.95,,Machine learning | Support vector machine,4-fold cross-validation,No,Reported | Specificity 98.32%,No,Not reported,Cell type
S. Haghshenas; A. Foroutan; P. Bhai; M. A. Levy; R. Relator; J. Kerkhof; H. McConkey; C. D. Skinner; R. C. Caylor; M. L. Tedder; R. E. Stevenson; B. Sadikovic; C. E. Schwartz,2023.0,"Identification of a DNA methylation signature for Renpenning syndrome (RENS1), a spliceopathy",10.1038/s41431-023-01313-z,Renpenning syndrome (RENS1),Genetic syndromes,1.0,116.0,Raw (individual-level) data,12.0,12.0,60.0,Case control,Childhood and adolescence,Peripheral blood,EPICv1,Not reported,Journal Article,Eur J Hum Genet,Association DNAm phenotype | P-value | top-ranking 800,Association DNAm phenotype | P-value | top-ranking 800,Association DNAm phenotype | AUC | top-ranking 160,Pruning | Pairwise correlation | < 0.85,,Machine learning | Support vector machine,4-fold cross-validation,No,Reported | Specificty > 99%,No,Not reported,Cell type
D. Pagliara; A. Ciolfi; L. Pedace; S. Haghshenas; M. Ferilli; M. A. Levy; E. Miele; C. Nardini; C. Cappelletti; R. Relator; A. Pitisci; R. De Vito; S. Pizzi; J. Kerkhof; H. McConkey; F. Nazio; S. G. Kant; M. Di Donato; E. Agolini; M. Matraxia; B. Pasini; A. Pelle; T. Galluccio; A. Novelli; T. S. Barakat; M. Andreani; F. Rossi; C. Mecucci; A. Savoia; B. Sadikovic; F. Locatelli; M. Tartaglia,2023.0,Identification of a robust DNA methylation signature for Fanconi anemia,10.1016/j.ajhg.2023.09.014,Fanconi Anemia (FA),Genetic syndromes,1.0,82.0,Raw (individual-level) data,136.0,25.0,111.0,Case control,Childhood and adolescence,Peripheral blood,EPICv1,Not reported,Journal Article,Am J Hum Genet,Association DNAm phenotype | P-value | top-ranking 1000,Association DNAm phenotype | P-value | top-ranking 1000,Association DNAm phenotype | AUC | top-ranking 500,Pruning | Pairwise correlation | < 0.84,,Machine learning | Support vector machine,Train/test split: 75/25% | 5-fold cross-validation,Yes (n=191),Not reported,No,No,cell type
S. G. Caraffi; L. v. d. Laan; K. Rooney,2024.0,Identification of the DNA methylation signature of Mowat-Wilson syndrome,,Mowat-Wilson syndrome (MOWS),Genetic syndromes,1.0,296.0,Raw (individual-level) data,,29.0,,Case control,Childhood and adolescence,Leukocytes,EPICv1,Not reported,Book,European Journal of …,Association DNAm phenotype | P-value | top-ranking ?,Association DNAm phenotype | AUC | top-ranking ?,,,,Machine learning | Support vector machine,Train/test split: 80/20% | leave-one-out cross-validation,Yes (remaining EKD),Not reported,No,No,Cell type
E. L. S. Conole; K. Vaher; M. B. Cabez; G. Sullivan; A. J. Stevenson; J. Hall; L. Murphy; M. J. Thrippleton; A. J. Quigley; M. E. Bastin; V. E. Miron; H. C. Whalley; R. E. Marioni; J. P. Boardman; S. R. Cox,2023.0,Immuno-epigenetic signature derived in saliva associates with the encephalopathy of prematurity and perinatal inflammatory disorders,10.1016/j.bbi.2023.03.011,C-reactive protein,Biological markers,1.0,7.0,Pre-established MPS,258.0,155.0,103.0,Cohort study,Very early childhood,Saliva,EPICv1,European,Journal Article,Brain Behav Immun,Association DNAm phenotype | P-value | p < 1.15e-7,,,,,Discovery EWAS | Linear regression,No,No,"Reported | odds ration | OR range =2.00-4.71, p < 0.01",No,Not reported,"gestational age at birth, infant sex and birthweight z-score (model H2), and then adjusted for gestational age at birth, infant sex and birthweight z-score as well as administration of MgSO4 and corticosteroids in pregnancy (model H3)"
E. D. Barker; C. A. M. Cecil; E. Walton; L. C. Houtepen; T. G. O'Connor; A. Danese; S. R. Jaffee; S. K. G. Jensen; C. Pariante; W. McArdle; T. R. Gaunt; C. L. Relton; S. Roberts,2018.0,Inflammation-related epigenetic risk and child and adolescent mental health: A prospective study from pregnancy to middle adolescence,10.1017/s0954579418000330,C-reactive protein,Biological markers,3.0,7.0,Pre-established MPS,785.0,,,Population-based,"['Adolescence', 'Birth', 'Mid childhood']","['Peripheral blood', 'Cord blood']",450K,European,Journal Article,Dev Psychopathol,Association DNAm phenotype | P-value | ?,Pruning | Pairwise correlation | ?,,,,Discovery EWAS | Linear regression,No,No,"['Reported | Correlation | \xa0age 15\xa0r\xa0= -0.111,\xa0p\xa0< 0.002 and age 17\xa0r\xa0= -0.181,\xa0p\xa0< 0.0001', 'Not reported']",No,Not reported,Not reported
D. M. Kothalawala; L. Kadalayil; J. A. Curtin; C. S. Murray; A. Simpson; A. Custovic; W. J. Tapper; S. H. Arshad; F. I. Rezwan; J. W. Holloway,2022.0,Integration of Genomic Risk Scores to Improve the Prediction of Childhood Asthma Diagnosis,10.3390/jpm12010075,Asthma,Physical health indicators,10.0,"[np.float64(6.0), np.float64(110.0)]",Published summary statistics (semi-supervised),747.0,124.0,623.0,Population-based,Very early childhood,Dried bloodspot,EPICv1,European,Journal Article,J Pers Med,Association DNAm phenotype | P-value | ?,Pruning | Pairwise correlation | ?,Pruning | Feature selection ML,,,"['Discovery EWAS | Linear regression', 'Discovery EWAS | Count (+1 hyper, -1 hypo, based on linear regression)']",Cross-validation | ?,No,"['Reported | AUC |AUC 95CI = 0.55 (0.50–0.60)\xa0‡', 'Reported | AUC 95CI = 0.54 (0.48, 0.59)', 'Reported | AUC 95CI = 0.49 (0.44, 0.55)', 'Reported | AUC 95CI = 0.53 (0.48, 0.59)', 'Reported | AUC 95CI = 0.52 (0.47, 0.58)', 'Reported | AUC 95CI = 0.53 (0.48–0.59)', 'Reported | AUC 95CI = 0.54 (0.49, 0.59)\xa0‡', 'Reported | AUC 95CI  = 0.53 (0.48, 0.59)']",No,Not reported,Not reported
A. S. E. van Oirsouw; M. A. Hadders; M. Koetsier; E. D. J. Peters; N. Assia Batzir; T. S. Barakat; D. Baralle; A. Beil; M. N. Bonnet-Dupeyron; P. M. Boone; A. Bouman; D. A. Carere; B. Cogne; L. Dunnington; L. S. Farach; C. A. Genetti; B. Isidor; L. Januel; A. Joshi; N. Lahiri; K. N. Lee; I. Maya; M. McEntagart; H. Northrup; M. Pujalte; K. Richardson; S. Walker; B. P. C. Koeleman; M. Alders; R. H. van Jaarsveld; R. Oegema,2025.0,KDM2B variants in the CxxC domain impair its DNA-binding ability and cause a distinct neurodevelopmental syndrome,10.1093/hmg/ddaf082,CxxC domain KM2B-related NDD,Genetic syndromes,1.0,107.0,Pre-established MPS,19.0,,,Cohort study,Childhood and adolescence,Whole blood,Not reported,Not reported,Journal Article,Hum Mol Genet,,,,,,,,,Reported | Overlap | 9/19,No,Not reported,Not reported
R. Karayol; M. C. Borroto; S. Haghshenas; A. Namasivayam; J. Reilly; M. A. Levy; R. Relator; J. Kerkhof; H. McConkey; M. Shvedunova; A. K. Petersen; K. Magnussen; C. Zweier; G. Vasileiou; A. Reis; J. M. Savatt; M. R. Mulligan; L. S. Bicknell; G. Poke; A. Abu-El-Haija; J. Duis; V. Hannig; S. Srivastava; E. Barkoudah; N. S. Hauser; M. van den Born; U. Hamiel; N. Henig; H. Baris Feldman; S. McKee; I. P. C. Krapels; Y. Lei; A. Todorova; R. Yordanova; S. Atemin; M. Rogac; V. McConnell; A. Chassevent; K. W. Barañano; V. Shashi; J. A. Sullivan; A. Peron; M. Iascone; M. P. Canevini; J. Friedman; I. A. Reyes; J. Kierstein; J. J. Shen; F. N. Ahmed; X. Mao; B. Almoguera; F. Blanco-Kelly; K. Platzer; A. B. Treu; J. Quilichini; A. Bourgois; N. Chatron; L. Januel; C. Rougeot; D. A. Carere; K. G. Monaghan; J. Rousseau; K. A. Myers; B. Sadikovic; A. Akhtar; P. M. Campeau,2024.0,"MSL2 variants lead to a neurodevelopmental syndrome with lack of coordination, epilepsy, specific dysmorphisms, and a distinct episignature",10.1016/j.ajhg.2024.05.001,MSL2- associated neurodevelopmental syndrome,Genetic syndromes,1.0,239.0,Raw (individual-level) data,2597.0,6.0,2591.0,Case control,Childhood and adolescence,Peripheral blood,EPICv1,Not reported,Journal Article,Am J Hum Genet,Association DNAm phenotype | P-value | top-ranking 900,Association DNAm phenotype | P-value | top-ranking 900,Association DNAm phenotype | AUC | top-ranking 450,Pruning | Pairwise correlation | < 0.70,,Machine learning | Support vector machine,Train/test split: 75/25%,No,Not reported,No,Not reported,Cell type
S. Rauschert; P. E. Melton; A. Heiskala; V. Karhunen; G. Burdge; J. M. Craig; K. M. Godfrey; K. Lillycrop; T. A. Mori; L. J. Beilin; W. H. Oddy; C. Pennell; M. R. Jarvelin; S. Sebert; R. C. Huang,2020.0,Machine Learning-Based DNA Methylation Score for Fetal Exposure to Maternal Smoking: Development and Validation in Samples Collected from Adolescents and Adults,10.1289/ehp6076,"['Maternal smoking', 'Maternal smoking (newborns)', 'Maternal smoking (older children)']",Lifestyle and environment,7.0,"[np.float64(204.0), np.float64(1511.0), np.float64(28.0), np.float64(568.0), np.float64(19.0)]","['Raw (individual-level) data', 'Pre-established MPS']",995.0,296.0,699.0,Population-based,Adolescence,Peripheral blood,450K,White,Journal Article,Environ Health Perspect,"['Association DNAm phenotype | P-value | p < 1e-5', nan]",,,,,"['Penalized regression | Elastic net', 'Machine learning | Gradient boosting machine', 'Machine learning | Random forest', 'Machine learning | Support vector machine', nan]","['Train/test split: 80/20% | Cross-validation ?', nan]",Yes (n = 517),"['Reported | Sensitivity/Specifity/Cohen’s κ/Accuracy/AUC/Brierscore | sensitivity/specicity 91% and 76% internal, 87% and 75% external', 'Reported | Sensitivity/Specifity/Cohen’s κ/Accuracy/AUC/Brierscore | sensitivity/specicity 91% and 82% internal, 95% and 29% external', 'Reported | Sensitivity/Specifity/Cohen’s κ/Accuracy/AUC/Brierscore | sensitivity/specicity 87% and 73% internal, 79% and 16% external', 'Reported | Sensitivity/Specifity/Cohen’s κ/Accuracy/AUC/Brierscore | sensitivity/specicity 87% and 73% internal, 87% and 44% external', 'Reported | Sensitivity/Specifity/Cohen’s κ/Accuracy/AUC/Brierscore | sensitivity/specicity 88% and 72% internal, 87% and 61% for external', 'Reported | Sensitivity/Specifity/Cohen’s κ/Accuracy/AUC/Brierscore | sensitivity/specicity 70% and 68% internal, 65% and 76% external', 'Reported | Sensitivity/Specifity/Cohen’s κ/Accuracy/AUC/Brierscore | sensitivity/specicity 79% and 58% internal, 65% and 77% external']",Yes,Reported,Not reported
A. Suleri; N. Creasey; E. Walton; R. Muetzel; J. F. Felix; L. Duijts; V. Bergink; C. A. M. Cecil,2024.0,Mapping prenatal predictors and neurobehavioral outcomes of an epigenetic marker of neonatal inflammation - A longitudinal population-based study,10.1016/j.bbi.2024.08.053,C-reactive protein,Biological markers,2.0,"[np.float64(7.0), np.float64(1511.0)]",Pre-established MPS,2394.0,,,Population-based,Birth,Cord blood,"Multiple (450K, EPICv1)",White,Journal Article,Brain Behav Immun,,,,,,,No,No,"['Reported | AUC | 0.76 450k, 0.68 EPICv1', 'Reported | AUC | 0.55 450k, 0.53 EPICv1']",No,Reported | k-nearest neighbors ,"child sex, batch effects, estimated cell type proportions, household income, and maternal education."
"Kallak, T. K., Fransson, E., Bränn, E., Berglund, H., Lager, S., Comasco, E., ... & Skalkidou, A. ",2022.0,Maternal prenatal depressive symptoms and toddler behavior: an umbilical cord blood epigenome-wide association study,10.1038/s41398-022-01954-6,"['Externalizing behavior', 'Internalizing behavior', 'Total problem behavior']",Neuro-psychiatric health indicators,9.0,,Raw (individual-level) data,256.0,74.0,182.0,Case control,Birth,Cord blood,EPICv1,European,Journal Article,Translation psychiatry,Biological relevance | Functional annotation | Grouped to genes,,,,,"['Machine learning | Random forest', 'Machine learning | Partial least squares-discriminant analysis', 'Penalized regression | Lasso']",Train/test split: 80/20% | 50 hold-outs,No,Reported | ranged between .4-.6,No,Not reported,"['age, BMI, place of birth, parity, gestational age, mode of delivery, and education; sample plate batch, sentrix position on the chip, granulocyte cell estimate, red blood cell estimate, CD8 T cell estimate', ' Five technical\nvariables were included in the model: sample plate batch, sentrix position\non the chip, granulocyte cell estimate, red blood cell estimate, and CD8 T\ncell estimate [25, 42]). Also, clinical characteristics such as maternal age at\ndelivery, BMI before pregnancy, maternal place of birth (Scandinavia or other), educational level (University degree yes or no), mode of delivery (vaginal, vacuum extraction, emergency cesarean section, and elective cesarean section), parity, and gestational age, based on previous literature [15, 26, 43–45], were also included in the model, in total 12 covariates']"
W. Q. Deng; N. Cawte; N. Campbell; S. M. Azab; R. J. de Souza; A. Lamri; K. M. Morrison; S. A. Atkinson; P. Subbarao; S. E. Turvey; T. J. Moraes; K. K. Teo; P. Mandhane; M. B. Azad; E. Simons; G. Pare; S. S. Anand,2023.0,Maternal smoking DNA methylation risk score associated with health outcomes in offspring of European and South Asian ancestry,10.1101/2023.09.24.23295907,"['PM (air polution)', 'Maternal smoking', 'Maternal smoking (newborns)']",Lifestyle and environment,8.0,"[np.float64(3.0), np.float64(2620.0), np.float64(15.0), np.float64(63.0), np.float64(143.0), np.float64(204.0), np.float64(28.0), np.float64(568.0)]","['Published summary statistics (semi-supervised)', 'Pre-established MPS']","[np.float64(744.0), np.float64(1247.0)]",,,Population-based,Birth,Cord blood,"['Multiple (450K, GMEL (~3000 CpGs from EPICv1))', '450K']",European,Generic,eLife,"['Association DNAm phenotype | P-value | ?', nan]",,,,,"['Discovery EWAS | Linear mixed model', 'Discovery EWAS | Linear regression', 'Penalized regression | Lassosum', nan]",No,Yes,"['Reported | AUC = 0.54 (0.49–0.61)FAMILY, 0.87 ( 0.81–0.93) CHILD', 'Reported | AUC = 0.84 (0.77–0.91) FAMILY, 0.87 ( 0.81–0.93) CHILD', 'Reported | AUC = 0.89 (0.83–0.94) FAMILY, 0.87 ( 0.81–0.93) CHILD', 'Reported | AUC = 0.87 (0.80–0.94) CHILD', 'Reported | AUC = 0.88 (0.81–0.94) FAMILY', 'Reported | AUC= 0.84 (0.77–0.91) FAMILY, 0.87 ( 0.81–0.93) CHILD', 'Reported | AUC = 0.50 (0.44–0.56) FAMILY, 0.87 ( 0.81–0.93) CHILD']",No,"['Mean imputation', 'Mean imputation, overlapping sites']",Only on EWAS level
M. Massimino; S. Signoroni; L. Boschetti; L. Chiapparini; A. Erbetta; V. Biassoni; E. Schiavello; A. Ferrari; F. Spreafico; M. Terenziani; S. Chiaravalli; N. Puma; L. Bergamaschi; M. T. Ricci; L. Cattaneo; G. Gattuso; F. R. Buttarelli; F. Gianno; E. Miele; G. Poggi; M. Vitellaro,2021.0,Medulloblastoma and familial adenomatous polyposis: Good prognosis and good quality of life in the long-term?,10.1002/pbc.28912,Medulloblastoma (MBL) wingless-related integration site (WNT) subtype,Cancer,1.0,,Pre-established MPS,4.0,4.0,,Cohort study,Childhood,Tumour cells,EPICv1,Not reported,Journal Article,Pediatr Blood Cancer,,,,,,,No,No,Not reported,No,Not reported,Not reported
S. Haghshenas; H. J. Bout; J. M. Schijns; M. A. Levy; J. Kerkhof; P. Bhai; H. McConkey; Z. A. Jenkins; E. M. Williams; B. J. Halliday; S. A. Huisman; P. Lauffer; V. de Waard; L. Witteveen; S. Banka; A. F. Brady; E. Galazzi; J. van Gils; A. C. E. Hurst; F. J. Kaiser; D. Lacombe; A. F. Martinez-Monseny; P. Fergelot; F. P. Monteiro; I. Parenti; L. Persani; F. Santos-Simarro; B. N. Simpson; M. Alders; S. P. Robertson; B. Sadikovic; L. A. Menke,2024.0,Menke-Hennekam syndrome; delineation of domain-specific subtypes with distinct clinical and DNA methylation profiles,10.1016/j.xhgg.2024.100287,Menke-Hennekam syndrome 4 (MKHK),Genetic syndromes,1.0,104.0,Raw (individual-level) data,84.0,21.0,63.0,Case control,Childhood and adolescence,Peripheral blood,EPICv1,Not reported,Journal Article,HGG Adv,Not reported,,,,,Machine learning | Support vector machine,4-fold cross-validation,No,Not reported,No,Not reported,Cell type
A. G. Segura; L. Prohens; L. Julia; S. Amoretti; R. I. M; L. Pino-Camacho; G. Cano-Escalera; A. Mane; R. Rodriguez-Jimenez; A. Roldan; S. Sarro; A. Ibanez; J. Usall; A. Lobo; C. Garcia-Rizo; M. J. Cuesta; M. Parellada; A. Gonzalez-Pinto; E. Berrocoso; M. Bernardo; S. Mas; N. Rodriguez; A. Perez-Ramos; S. Salmeron; J. Gonzalez-Penas; X. Gurriaran; A. Farre; E. Pousa; I. Zorrilla; L. Mar-Barrutia; A. Trabsa; L. Martinez; A. Sanchez-Cabezudo; E. Jimenez-Lopez; E. Pomarol-Clotet; R. Salvador; A. Butjosa; R. A. Elena; L. Moreno-Izco; A. M. S. Torres; J. Saiz; L. Leon-Quismondo; O. Rivero; L. Gonzalez-Blanco; C. De-la-Camara,2025.0,Methylation profile scores of environmental exposures and risk of relapse after a first episode of schizophrenia,10.1016/j.euroneuro.2025.02.003,"['Maternal age at conception', 'Pre-pregnancy overweight', 'Maternal smoking', 'Gestational diabetes', 'Hypertensive disorders of pregnancy', 'Pre-eclampsia', 'Birth weight', 'Early preterm birth', 'Abuse', 'Neglect', 'Abuse and neglect', 'Current smoking', 'Lifetime smoking', 'Lifetime cannabis']","['Lifestyle and environment', 'Physical health indicators']",14.0,"[np.float64(9.0), np.float64(4037.0), np.float64(845.0), np.float64(277.0), np.float64(1075.0), np.float64(542.0), np.float64(50879.0), np.float64(273.0), np.float64(36.0), np.float64(21.0), np.float64(16015.0), np.float64(2203.0), np.float64(659.0)]",Published summary statistics (semi-supervised),91.0,,,Cohort study,Adolescence,Blood,EPICv1,White,Journal Article,Eur Neuropsychopharmacol,Association DNAm phenotype | P-value | p < .05,,,,,Discovery EWAS | Linear regression,No,No,Not reported,No,Not reported,"Age, sex and tobacco consumption,PRS of educational attainment"
D. Lariviere; S. J. C. Craig; I. M. Paul; E. E. Hohman; J. S. Savage; R. O. Wright; F. Chiaromonte; K. D. Makova; M. L. Reimherr,2024.0,Methylation profiles at birth linked to early childhood obesity,10.1017/s2040174424000060,"['BMI', 'Conditional weight gain', 'Weight for length']","['Physical health indicators', 'Lifestyle and environment']",4.0,"[np.float64(4.0), np.float64(10.0), np.float64(8.0), np.float64(31.0)]",Raw (individual-level) data,48.0,,,Convenience sample,Birth,"['Cord blood', 'Placenta']",EPICv1,White,Journal Article,J Dev Orig Health Dis,Biological relevance | Functional annotation | Grouped to genes,Association DNAm phenotype | P-value | ?,,,,Penalized regression | Elastic net,Cross-validation | ?,Yes (n = 1001),"['Reported | Explained variance | adjusted R-squared = 0.992,\xa0p-value ≤ 2.2 × 10–16 (internal) -> not significant in validation sample', 'Reported | Explained variance |adjusted R-squared = 0.8088,\xa0p-value ≤ 2.2 × 10–16 (internal) -> not significant in validation sample', 'Reported | Explained variance |\xa0adjusted R-squared = 0.874,\xa0p-value ≤ 2.2 × 10–16  (internal) -> not significant in validation sample', 'Reported | Explained variance | adjusted R-squared = 0.5966,\xa0p-value 7.731 × 10–11 (internal) -> not significant in validation sample']",No,Not reported,"Sex, age"
A. Kilanowski; J. Chen; T. Everson; E. Thiering; R. Wilson; N. Gladish; M. Waldenberger; H. Zhang; J. C. Celedon; E. G. Burchard; A. Peters; M. Standl; A. Huls,2022.0,Methylation risk scores for childhood aeroallergen sensitization: Results from the LISA birth cohort,10.1111/all.15315,"['Atopic status', 'Schizophrenia ', 'Allergy', 'Asthma']","['Physical health indicators', 'Neuro-psychiatric health indicators']",14.0,"[np.float64(3.0), np.float64(2.0), np.float64(867.0), np.float64(5.0), np.float64(9.0), np.float64(18.0), np.float64(24.0)]",Published summary statistics (semi-supervised),"[np.float64(227.0), np.float64(234.0)]",,,Population-based,"['Late childhood', 'Mid childhood']",Blood-clots,EPICv1,European,Journal Article,Allergy,Association DNAm phenotype | Multiple p-values | thresholding,Pruning | CoMeBack,,,,Discovery EWAS | Linear regression,No,No,"['Reported | Explained variance | pseudo R2 = 0.161', 'Reported | Explained variance | pseudo R2 = 0.173597289', 'Reported | Explained variance | pseudo R2 = 0.151', 'Reported | Explained variance | pseudo R2 = 0.16', 'Reported | Explained variance | pseudo R2 = 0.135', 'Reported | Explained variance | pseudo R2 = 0.132464549', 'Reported | Explained variance | pseudo R2 = 0.162', 'Reported | Explained variance | pseudo R2 = 0.167099416', 'Reported | Explained variance | pseudo R2 = 0.158', 'Reported | Explained variance | pseudo R2 = 0.161554352', 'Reported | Explained variance | pseudo R2 = 0.172', 'Reported | Explained variance | pseudo R2 = 0.149761571', 'Reported | Explained variance | pseudo R2 = 0.156', 'Reported | Explained variance | pseudo R2 = 0.170890935']",No,Not reported,"sex, age, whether the blood was taken in the allergyseason (March to August),as well as circulating IgE levels, and estimated celltype proportions using EpiDISH"
P. J. van der Sluijs; S. Moutton; A. J. M. Dingemans; D. Weis; M. A. Levy; K. M. Boycott; C. Arberas; M. Baldassarri; C. Beneteau; A. Brusco; C. Coutton; T. Dabir; M. L. Dentici; K. Devriendt; L. Faivre; M. M. van Haelst; K. Jizi; M. J. Kempers; J. Kerkhof; M. Kharbanda; K. Lachlan; N. Marle; H. McConkey; M. A. Mencarelli; D. Mowat; M. Niceta; C. Nicolas; A. Novelli; V. Orlando; O. Pichon; J. Rankin; R. Relator; F. G. Ropers; J. A. Rosenfeld; R. Sachdev; S. A. Sandaradura; E. Shukarova-Angelovska; D. Steenbeek; M. Tartaglia; M. A. Tedder; S. Trajkova; N. Winer; J. Woods; B. B. A. de Vries; B. Sadikovic; M. Alders; G. W. E. Santen,2025.0,Microduplications of ARID1A and ARID1B cause a novel clinical and epigenetic distinct BAFopathy,10.1016/j.gim.2024.101283,"['ARID1A syndrome', 'ARID1B syndrome']",Genetic syndromes,2.0,"[np.float64(200.0), np.float64(219.0)]",Raw (individual-level) data,"[np.float64(14.0), np.float64(16.0)]","[np.float64(7.0), np.float64(8.0)]","[np.float64(7.0), np.float64(8.0)]",Case control,Childhood,Whole blood,EPICv1,Not reported,Journal Article,Genet Med,Association DNAm phenotype | P-value | top-ranking ?,Association DNAm phenotype | P-value | top-ranking ?,Association DNAm phenotype | AUC | ?,Pruning | Pairwise correlation | ?,,Machine learning | Support vector machine,Leave-one-out cross-validation,No,Not reported,No,Not reported,Cell type
M. van Breugel; C. Qi; Z. Xu; C. T. Pedersen; I. Petoukhov; J. M. Vonk; U. Gehring; M. Berg; M. Bugel; O. A. Carpaij; E. Forno; A. Morin; A. U. Eliasen; Y. Jiang; M. van den Berge; M. C. Nawijn; Y. Li; W. Chen; L. J. Bont; K. Bonnelykke; J. C. Celedon; G. H. Koppelman; C. J. Xu,2022.0,Nasal DNA methylation at three CpG sites predicts childhood allergic disease,10.1038/s41467-022-35088-6,Allergy,Physical health indicators,6.0,"[np.float64(3.0), np.float64(nan)]",Published summary statistics (semi-supervised),"[np.float64(1291.0), np.float64(1292.0), np.float64(1293.0), np.float64(1294.0), np.float64(1295.0), np.float64(1296.0)]",,,Population-based,Adolescence,Nasal epithelial cells,450K,Mixed,Journal Article,Nat Commun,Association DNAm phenotype | P-value | FDR < .05,,,,,"['Penalized regression | Elastic net', 'Machine learning | Naive bayes', 'Machine learning | Neural network', 'Machine learning | Random forest', 'Machine learning | Support vector machine', 'Machine learning | Gradient boosting machine']",Train/test split: 80/20%,Yes,"['Reported | AUC | Internal AUC = 0.835', 'Reported | AUC | internal AUC = 0.72', 'Reported | AUC | internal AUC = 0.73', 'Reported | AUC | internal AUC = 0.838', 'Reported | AUC | internal AUC = 0.799', 'Reported | AUC | internal AUC = 0.826']",Yes,Complete cases and common CpGs,Not reported
M. A. Levy; H. McConkey; J. Kerkhof,2022.0,Novel diagnostic DNA methylation episignatures expand and refine the epigenetic landscapes of Mendelian disorders,,"['16p11.2 deletion syndrome', '22q11.2 deletion syndrome', 'Arboleda-Tham syndrome', 'BAFopathy syndrome: Coffin-Siris 1-2 (CSS1-2)', 'BAFopathy syndrome: Coffin-Siris 4 (CSS4)', 'BAFopathy syndrome: Coffin-Siris 9 (CSS9)', 'Beck-Fahrner syndrome', 'Dystonia 28 (DYT28)', 'Gabriele-de Vries syndrome (GADEVS)', 'Intellectual developmental disorder, X-linked syndromic, Armfield type (MRXSA)', 'KDM2B-related neurodevelopmental disorder', 'KDM4B-related neurodevelopmental disorder', 'Luscan-Lumish syndrome (LLS)', 'Menke-Hennekam syndrome 4 (MKHK)', 'Myopathy, lactic acidosis, and sideroblastic anemia 2 (MLASA2)\t', 'Phelan–McDermid syndrome (PHMDS)', 'Renpenning syndrome (RENS1)', 'Rubinstein-Taybi syndrome 1 (RSTS1)', 'Rubinstein-Taybi syndrome 2 (RSTS2)']",Genetic syndromes,19.0,"[np.float64(166.0), np.float64(500.0), np.float64(115.0), np.float64(306.0), np.float64(491.0), np.float64(127.0), np.float64(413.0), np.float64(450.0), np.float64(534.0), np.float64(400.0), np.float64(329.0), np.float64(260.0), np.float64(112.0)]",Raw (individual-level) data,"[np.float64(72.0), np.float64(66.0), np.float64(44.0), np.float64(33.0), np.float64(60.0), np.float64(80.0), np.float64(63.0), np.float64(65.0), np.float64(64.0), np.float64(111.0), np.float64(87.0)]","[np.float64(18.0), np.float64(11.0), np.float64(4.0), np.float64(3.0), np.float64(10.0), np.float64(16.0), np.float64(6.0), np.float64(9.0), np.float64(13.0), np.float64(8.0), np.float64(37.0), np.float64(29.0)]","[np.float64(54.0), np.float64(55.0), np.float64(40.0), np.float64(30.0), np.float64(50.0), np.float64(64.0), np.float64(52.0), np.float64(56.0), np.float64(74.0), np.float64(58.0)]",Case control,Childhood and adolescence,Peripheral blood,"Multiple (450K, EPICv1)",Not reported,Book,Human Genetics and …,Association DNAm phenotype | P-value | top-ranking ?,Association DNAm phenotype | P-value | top-ranking ?,Association DNAm phenotype | AUC | ?,Pruning | Pairwise correlation | ?,,Machine learning | Support vector machine,4-fold cross-validation,No,Not assessed,No,Not reported,Cell type
