Phenotype [application],Phenotype [development],Category [application],Category [development],Author,Year,Title,n CpGs [application],n CpGs [development],Based on,Sample size [application],Sample size [development],n Cases [application],n Cases [development],n Controls [application],n Controls [development],Sample type [application],Sample type [development],Developmental period [application],Developmental period [development],Tissue [application],Tissue [development],Array [application],Array [development],Ancestry [application],Ancestry [development],Dimension reduction (1) [application],Dimension reduction (1) [development],Dimension reduction (2) [application],Dimension reduction (2) [development],Dimension reduction (3) [application],Dimension reduction (3) [development],Dimension reduction (4) [application],Dimension reduction (4) [development],Dimension reduction (5) [application],Dimension reduction (5) [development],Weights estimation [application],Weights estimation [development],Internal validation [application],Internal validation [development],External validation [application],External validation [development],Performance [application],Performance [development],Comparison [application],Comparison [development],Missing_value_note [application],Missing_value_note [development],Covariates [application],Covariates [development],Sample_overlap_target_base [application],Sample_overlap_target_base [development]
Maternal smoking,Maternal smoking,Lifestyle and environment,Lifestyle and environment,Deng et al.,2024.0,Maternal smoking DNA methylation risk score associated with health outcomes in offspring of European and South Asian ancestry,143.0,,Published summary statistics (semi-supervised),1247.0,,,,,,Population-based,,Birth,Birth,Cord blood,Cord blood,"Multiple (450K, GMEL (~3000 CpGs from EPICv1))",450K,European,Mixed,Association DNAm phenotype | P-value | ?,,,,,,,,,,Penalized regression | Lassosum,,No,,Yes,,Reported | AUC = 0.88 (0.81–0.94) FAMILY,,No,,"Mean imputation, overlapping sites",,Only on EWAS level,"maternal age, maternal education (or a surrogate socioeconomic metric), parity, and technical covariates such as batch or plate",No,
Maternal smoking,Maternal smoking,Lifestyle and environment,Lifestyle and environment,Deng et al.,2024.0,Maternal smoking DNA methylation risk score associated with health outcomes in offspring of European and South Asian ancestry,204.0,204.0,Pre-established MPS,744.0,995.0,,296.0,,699.0,Population-based,Population-based,Birth,Adolescence,Cord blood,Peripheral blood,"Multiple (450K, GMEL (~3000 CpGs from EPICv1))",450K,European,European,,Association DNAm phenotype | P-value | p < 1e-5,,,,,,,,,,Penalized regression | Elastic net,No,Train/test split: 80/20% | Cross-validation ?,Yes,Yes (n = 517),"Reported | AUC= 0.84 (0.77–0.91) FAMILY, 0.87 ( 0.81–0.93) CHILD","Reported | Sensitivity/Specifity/Cohen’s κ/Accuracy/AUC/Brierscore | sensitivity/specicity 91% and 76% internal, 87% and 75% external",No,Yes,Mean imputation,Reported,Only on EWAS level,Not reported,No,
Maternal smoking,Maternal smoking,Lifestyle and environment,Lifestyle and environment,Deng et al.,2024.0,Maternal smoking DNA methylation risk score associated with health outcomes in offspring of European and South Asian ancestry,28.0,28.0,Pre-established MPS,744.0,1278.0,,168.0,,110.0,Population-based,Population-based,Birth,Birth,Cord blood,Cord blood,"Multiple (450K, GMEL (~3000 CpGs from EPICv1))",450K,European,European,,Association DNAm phenotype | Effect size * P-value | top-ranking 200,,,,,,,,,,Penalized regression | Lasso,No,Train/test split: 80/20%,Yes,No,"Reported | AUC = 0.50 (0.44–0.56) FAMILY, 0.87 ( 0.81–0.93) CHILD","Reported | Accuracy, sensitivity, specificity | training set (n = 1,057; accuracy = 96%, sensitivity = 80%, specificity = 98%); test set (n = 221, sensitivity = 58%, accuracy = 91%, specificity = 97%) ",No,Yes,Mean imputation,Not reported,Only on EWAS level,"gender, gestational age, maternal education, maternal age, parity, and the selection variable for the data set.",No,
Maternal smoking (newborns),Maternal smoking (newborns),Lifestyle and environment,Lifestyle and environment,Deng et al.,2024.0,Maternal smoking DNA methylation risk score associated with health outcomes in offspring of European and South Asian ancestry,568.0,568.0,Pre-established MPS,744.0,754.0,,,,,Population-based,Population-based,Birth,Adulthood,Cord blood,Peripheral blood,"Multiple (450K, GMEL (~3000 CpGs from EPICv1))",450K,European,European,,Association DNAm phenotype | P-value | ?,,,,,,,,,,Discovery EWAS | Linear mixed model,No,No,Yes,"Yes (later timepoint, n=230)","Reported | AUC = 0.89 (0.83–0.94) FAMILY, 0.87 ( 0.81–0.93) CHILD","Reported | AUC 0.69 [95% confidence interval (CI) 0.67, 0.73]",No,No,Mean imputation,Not reported,Only on EWAS level,"Maternal age at birth and head of household social class, SVs",No,
AUTS18 syndrome / Intellectual developmental disorder with autism and macrocephaly (IDDAM),AUTS18 syndrome / Intellectual developmental disorder with autism and macrocephaly (IDDAM),Genetic syndromes,Genetic syndromes,Dingemans et al.,2022.0,The phenotypic spectrum and genotype-phenotype correlations in 106 patients with variants in major autism gene CHD8,,103.0,Pre-established MPS,13.0,754.0,,5.0,,749.0,Cohort study,Case control,Childhood and adolescence,Not reported,Not reported,Peripheral blood,EPICv1,"Multiple (450K, EPICv1)",Not reported,Not reported,,Association DNAm phenotype | Effect size * P-value | top-ranking 1000,,Association DNAm phenotype | AUC | top-ranking 100-150,,Pruning | R-squared | 0.60-0.80,,,,,,Machine learning | Support vector machine,No,Train/test split: 75/25% | 10-fold cross-validation,No,Yes (n = 965),Not reported,Not reported,No,No,No,No,No,"Cell type, 10 PCs",No,
C-reactive protein,C-reactive protein,Biological markers,Biological markers,Edmondson-Stait et al.,2022.0,Early-life inflammatory markers and subsequent psychotic and depressive episodes between 10 to 28 years of age,7.0,8.0,Pre-established MPS,672.0,12974.0,,,,,Population-based,Cohort,Birth,Adulthood,Cord blood,Whole blood,450K,450K,European,Mixed,,Association DNAm phenotype | P-value | top-ranking ?,,Pruning | R-squared | 0.1,,,,,,,,Discovery EWAS | Linear mixed model,No,No,No,No,Reported | Correlation | r = 0.042; p = 0.275,Reported | Explained variance = 2.3-5.8,No,No,No missings,Not reported,"sex, BMI, methodological covariates of 10 DNAm informed PCs and the fully adjusted model additionally included methodological covariates of DNAm WBC estimates","age, sex, white blood cell proportions, technical covariates (array number and position on array), smoking (current, former and never), and BMI.",No,
C-reactive protein,C-reactive protein,Biological markers,Biological markers,Edmondson-Stait et al.,2022.0,Early-life inflammatory markers and subsequent psychotic and depressive episodes between 10 to 28 years of age,7.0,8.0,Pre-established MPS,721.0,12974.0,,,,,Population-based,Cohort,Mid childhood,Adulthood,Peripheral blood,Whole blood,450K,450K,European,Mixed,,Association DNAm phenotype | P-value | top-ranking ?,,Pruning | R-squared | 0.1,,,,,,,,Discovery EWAS | Linear mixed model,No,No,No,No,Reported | Correlation | r = 0.073; p = 0.050,Reported | Explained variance = 2.3-5.8,No,No,No missings,Not reported,"sex, BMI, methodological covariates of 10 DNAm informed PCs and the fully adjusted model additionally included methodological covariates of DNAm WBC estimates","age, sex, white blood cell proportions, technical covariates (array number and position on array), smoking (current, former and never), and BMI.",No,
IL6,IL6,Biological markers,Biological markers,Edmondson-Stait et al.,2022.0,Early-life inflammatory markers and subsequent psychotic and depressive episodes between 10 to 28 years of age,35.0,35.0,Pre-established MPS,683.0,875.0,,,,,Population-based,Population-based,Birth,Adulthood,Cord blood,Whole blood,450K,450K,European,European,,,,,,,,,,,,Penalized regression | Elastic net,No,No,No,Yes (n=7028),Reported | Correlation | r = 0.101; p = 0.009,"Reported | R2 = 4.4%, p = 2.1 × 10-5",No,No,No missings,Reported | removed,"sex, BMI, methodological covariates of 10 DNAm informed PCs and the fully adjusted model additionally included methodological covariates of DNAm WBC estimates","age, sex, cell-type",No,
IL6,IL6,Biological markers,Biological markers,Edmondson-Stait et al.,2022.0,Early-life inflammatory markers and subsequent psychotic and depressive episodes between 10 to 28 years of age,35.0,35.0,Pre-established MPS,732.0,875.0,,,,,Population-based,Population-based,Mid childhood,Adulthood,Peripheral blood,Whole blood,450K,450K,European,European,,,,,,,,,,,,Penalized regression | Elastic net,No,No,No,Yes (n=7028),Reported | Correlation | r = -0.004; p = 0.920,"Reported | R2 = 4.4%, p = 2.1 × 10-5",No,No,No missings,Reported | removed,"sex, BMI, methodological covariates of 10 DNAm informed PCs and the fully adjusted model additionally included methodological covariates of DNAm WBC estimates","age, sex, cell-type",No,
C-reactive protein,C-reactive protein,Biological markers,Biological markers,Euclydes et al.,2022.0,Gestational age acceleration is associated with epigenetic biomarkers of prenatal physiologic stress exposure,7.0,8.0,Pre-established MPS,83.0,12974.0,,,,,Cohort study,Cohort,Birth,Adulthood,Cord blood,Whole blood,450K,450K,Hispanic,Mixed,,Association DNAm phenotype | P-value | top-ranking ?,,Pruning | R-squared | 0.1,,,,,,,,Discovery EWAS | Linear mixed model,No,No,No,No,Not assessed,Reported | Explained variance = 2.3-5.8,No,No,Not reported,Not reported,Cell type,"age, sex, white blood cell proportions, technical covariates (array number and position on array), smoking (current, former and never), and BMI.",No,
Atopic status,Atopic status,Physical health indicators,Physical health indicators,Kilanowski et al.,2022.0,Methylation risk scores for childhood aeroallergen sensitization: Results from the LISA birth cohort,3.0,,Published summary statistics (semi-supervised),227.0,,,,,,Population-based,,Late childhood,Late childhood,Blood-clots,Leukocytes,EPICv1,450K,European,Hispanic,Association DNAm phenotype | Multiple p-values | thresholding,,Pruning | CoMeBack,,,,,,,,Discovery EWAS | Linear regression,,No,,No,,Reported | Explained variance | pseudo R2 = 0.161,,No,,Not reported,,"sex, age, whether the blood was taken in the allergyseason (March to August),as well as circulating IgE levels, and estimated celltype proportions using EpiDISH","age, sex, asthma, batch (or plate), population subgroup (in GALA II) and the first five principal components (PCs) of the genotypic data, cell-types",No,
Atopic status,Atopic status,Physical health indicators,Physical health indicators,Kilanowski et al.,2022.0,Methylation risk scores for childhood aeroallergen sensitization: Results from the LISA birth cohort,3.0,,Published summary statistics (semi-supervised),234.0,,,,,,Population-based,,Mid childhood,Late childhood,Blood-clots,Leukocytes,EPICv1,450K,European,Hispanic,Association DNAm phenotype | Multiple p-values | thresholding,,Pruning | CoMeBack,,,,,,,,Discovery EWAS | Linear regression,,No,,No,,Reported | Explained variance | pseudo R2 = 0.173597289,,No,,Not reported,,"sex, age, whether the blood was taken in the allergyseason (March to August),as well as circulating IgE levels, and estimated celltype proportions using EpiDISH","age, sex, asthma, batch (or plate), population subgroup (in GALA II) and the first five principal components (PCs) of the genotypic data, cell-types",No,
Atopic status,Atopic status,Physical health indicators,Physical health indicators,Kilanowski et al.,2022.0,Methylation risk scores for childhood aeroallergen sensitization: Results from the LISA birth cohort,2.0,,Published summary statistics (semi-supervised),227.0,,,,,,Population-based,,Late childhood,Adolescence,Blood-clots,Whole blood,EPICv1,450K,European,European,Association DNAm phenotype | Multiple p-values | thresholding,,Pruning | CoMeBack,,,,,,,,Discovery EWAS | Linear regression,,No,,No,,Reported | Explained variance | pseudo R2 = 0.151,,No,,Not reported,,"sex, age, whether the blood was taken in the allergyseason (March to August),as well as circulating IgE levels, and estimated celltype proportions using EpiDISH",cell-type proportions and sex,No,
Atopic status,Atopic status,Physical health indicators,Physical health indicators,Kilanowski et al.,2022.0,Methylation risk scores for childhood aeroallergen sensitization: Results from the LISA birth cohort,2.0,,Published summary statistics (semi-supervised),234.0,,,,,,Population-based,,Mid childhood,Adolescence,Blood-clots,Whole blood,EPICv1,450K,European,European,Association DNAm phenotype | Multiple p-values | thresholding,,Pruning | CoMeBack,,,,,,,,Discovery EWAS | Linear regression,,No,,No,,Reported | Explained variance | pseudo R2 = 0.16,,No,,Not reported,,"sex, age, whether the blood was taken in the allergyseason (March to August),as well as circulating IgE levels, and estimated celltype proportions using EpiDISH",cell-type proportions and sex,No,
Schizophrenia ,Schizophrenia ,Neuro-psychiatric health indicators,Neuro-psychiatric health indicators,Kilanowski et al.,2022.0,Methylation risk scores for childhood aeroallergen sensitization: Results from the LISA birth cohort,867.0,,Published summary statistics (semi-supervised),227.0,,,,,,Population-based,,Late childhood,Adulthood,Blood-clots,Whole blood,EPICv1,450K,European,European,Association DNAm phenotype | Multiple p-values | thresholding,,Pruning | CoMeBack,,,,,,,,Discovery EWAS | Linear regression,,No,,No,,Reported | Explained variance | pseudo R2 = 0.135,,No,,Not reported,,"sex, age, whether the blood was taken in the allergyseason (March to August),as well as circulating IgE levels, and estimated celltype proportions using EpiDISH","age, gender, and cell composition",No,
Schizophrenia ,Schizophrenia ,Neuro-psychiatric health indicators,Neuro-psychiatric health indicators,Kilanowski et al.,2022.0,Methylation risk scores for childhood aeroallergen sensitization: Results from the LISA birth cohort,867.0,,Published summary statistics (semi-supervised),234.0,,,,,,Population-based,,Mid childhood,Adulthood,Blood-clots,Whole blood,EPICv1,450K,European,European,Association DNAm phenotype | Multiple p-values | thresholding,,Pruning | CoMeBack,,,,,,,,Discovery EWAS | Linear regression,,No,,No,,Reported | Explained variance | pseudo R2 = 0.132464549,,No,,Not reported,,"sex, age, whether the blood was taken in the allergyseason (March to August),as well as circulating IgE levels, and estimated celltype proportions using EpiDISH","age, gender, and cell composition",No,
Allergy,Allergy,Physical health indicators,Physical health indicators,Kilanowski et al.,2022.0,Methylation risk scores for childhood aeroallergen sensitization: Results from the LISA birth cohort,5.0,,Published summary statistics (semi-supervised),227.0,,,,,,Population-based,,Late childhood,Mid childhood,Blood-clots,Peripheral blood,EPICv1,450K,European,Mixed,Association DNAm phenotype | Multiple p-values | thresholding,,Pruning | CoMeBack,,,,,,,,Discovery EWAS | Linear regression,,No,,No,,Reported | Explained variance | pseudo R2 = 0.162,,No,,Not reported,,"sex, age, whether the blood was taken in the allergyseason (March to August),as well as circulating IgE levels, and estimated celltype proportions using EpiDISH","maternal covariates [age at enrollment (continuous), smoking status (never, former, or during pregnancy), education (college/graduate level or not college/graduate level), atopy history (asthma, eczema or hay fever)], child covariates [sex (female or male), race/ethnicity (white, black or others), gestational age (continuous)], and cell type proxies estimated for peripheral blood (percentages of monocytes, CD8T cells, CD4T cells, NK cells, and B cells).",No,
